article_id,title,link,keywords,creator,description,content,pubDate,pubDateTZ,image_url,video_url,source_id,source_name,source_priority,source_url,source_icon,language,country,category,sentiment,sentiment_stats,ai_tag,ai_region,ai_org,duplicate
867110d58465089a7540e4a7e696421b,Ausblick: Johnson Johnson gibt Ergebnis zum abgelaufenen Quartal bekannt,https://www.finanzen.ch/nachrichten/aktien/ausblick-johnson-johnson-gibt-ergebnis-zum-abgelaufenen-quartal-bekannt-1034578040,,,"Johnson Johnson stellt am 15.04.2025 die jüngste Quartalsbilanz zum am 31.03.2025 abgelaufenen Quartal vor.17 Analysten erwarten im Schnitt ein Ergebnis je Aktie von 2,58 USD. Das entspräche einem Zuwachs von 91,11 Prozent im Vergleich zum Vorjahr, als 1,35 USD erwirtschaftet wurden.Den Umsatz...",ONLY AVAILABLE IN PAID PLANS,2025-04-14 05:01:06,UTC,,,finanzen_ch,Finanzen.ch,1203015,https://www.finanzen.ch,https://i.bytvi.com/domain_icons/finanzen_ch.png,german,['switzerland'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
3832c7bfaa0a283ff30b4faa5c12a5fb,Ausblick: Johnson Johnson gibt Ergebnis zum abgelaufenen Quartal bekannt,https://www.finanzen.at/nachrichten/aktien/ausblick-johnson-johnson-gibt-ergebnis-zum-abgelaufenen-quartal-bekannt-1034578039,,,"Johnson Johnson stellt am 15.04.2025 die jüngste Quartalsbilanz zum am 31.03.2025 abgelaufenen Quartal vor.17 Analysten erwarten im Schnitt ein Ergebnis je Aktie von 2,58 USD. Das entspräche einem Zuwachs von 91,11 Prozent im Vergleich zum Vorjahr, als 1,35 USD erwirtschaftet wurden.Den Umsatz...",ONLY AVAILABLE IN PAID PLANS,2025-04-14 05:01:06,UTC,,,finanzen_at,Finanzen,2735372,https://www.finanzen.at,https://i.bytvi.com/domain_icons/finanzen_at.png,german,['austria'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,True
839f4b1d0d3a291303638eb2b189b295,Uhlmann Johnson Wilkes,https://pitchfork.com/reviews/albums/gregory-uhlmann-josh-johnson-sam-wilkes-uhlmann-johnson-wilkes,['reviews / albums'],['Matthew Blackwell'],"On their first album as a trio, the L.A. musicians combine complex polyrhythms and ambient cooldowns with help from a remarkable array of effects.",ONLY AVAILABLE IN PAID PLANS,2025-04-14 04:01:00,UTC,https://media.pitchfork.com/photos/67f572db79cc86f8174c1aed/master/pass/Gregory%20Uhlmann%20:%20Josh%20Johnson%20:%20Sam%20Wilkes:%20Uhlmann%20Johnson%20Wilkes.jpg,,pitchfork,Pitchfork,5995,https://pitchfork.com,https://i.bytvi.com/domain_icons/pitchfork.png,english,['world'],['entertainment'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
4ebbdbb9cff906a3582701e3333ecb1c,Former private school which Boris Johnson attended to be redeveloped,https://www.theargus.co.uk/news/25083910.east-sussex-school-taught-boris-johnson-redeveloped/,,,Plans to redevelop a former private school near Forest Row have been approved by Wealden councillors.,ONLY AVAILABLE IN PAID PLANS,2025-04-14 04:00:00,UTC,https://www.theargus.co.uk/resources/images/19322436/?htype=0&type=app,,theargus,The Argus,182311,https://www.theargus.co.uk,https://i.bytvi.com/domain_icons/theargus.png,english,['united kingdom'],"['top', 'business', 'health', 'politics']",ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
d7374eb07750d0cb2cbf9ea32170f45c,"Intraocular Lens Market Overall Study Report 2025-2032 | Bausch Health Companies Inc., Alcon Inc., Johnson & Johnson Services, Inc.",https://www.openpr.com/news/3968373/intraocular-lens-market-overall-study-report-2025-2032-bausch,['health & medicine'],['Coherent Market Insights'],"The intraocular lens market is estimated to be valued at USD 6,201.0 Mn in 2025 and is expected to reach USD 10,429.2 Mn by 2032, exhibiting a compound annual growth rate (CAGR) of 7.7% from 2025 to 2032.A new study",ONLY AVAILABLE IN PAID PLANS,2025-04-14 03:34:10,UTC,https://cdn.open-pr.com/L/4/L414410109_g.jpg,,openpr,Openpr.com,36018,https://www.openpr.com,https://i.bytvi.com/domain_icons/openpr.png,english,['germany'],['health'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
30ffffb2bb8843170851488628a02792,"Cosmeceuticals Market Generated Opportunities, Future Scope 2025-2032 | Johnson & Johnson Inc., Kao Corporation, Beiersdorf AG",https://www.openpr.com/news/3968367/cosmeceuticals-market-generated-opportunities-future-scope,['health & medicine'],['Coherent Market Insights'],"Cosmeceuticals Market is estimated to be valued at USD 99,523.3 Mn in 2025 and is expected to reach USD 1,82,166.3 Mn in 2032, exhibiting a compound annual growth rate (CAGR) of 9.02% from 2025 to 2032.A new study titled Cosmeceuticals",ONLY AVAILABLE IN PAID PLANS,2025-04-14 03:28:10,UTC,https://cdn.open-pr.com/L/4/L414309449_g.jpg,,openpr,Openpr.com,36018,https://www.openpr.com,https://i.bytvi.com/domain_icons/openpr.png,english,['germany'],['health'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
38a08d9e5d7af29aff593f2cb217b6f4,"Regenerative Artificial Skin Market Generated Opportunities, Future Scope 2025-2032 | Integra Life Sciences Corporation, Johnson & Johnson Services, Inc., Mallinckrodt Plc.",https://www.openpr.com/news/3968359/regenerative-artificial-skin-market-generated-opportunities,['health & medicine'],['Coherent Market Insights'],"A new study titled Regenerative Artificial Skin Market 2024, published by the Coherent Market Insights, offers information on regional and global markets that is expected to increase in value between 2024 and 2031. The extensive research offers important visions into",ONLY AVAILABLE IN PAID PLANS,2025-04-14 03:20:59,UTC,https://cdn.open-pr.com/L/4/L414471047_g.jpg,,openpr,Openpr.com,36018,https://www.openpr.com,https://i.bytvi.com/domain_icons/openpr.png,english,['germany'],['health'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
c5f921c0a15e458b41ab86a2664e39ee,Influencer Lauren Cummings Johnson mourns 9-month-old daughter Lily Ann,https://tribune.com.pk/story/2539794/influencer-lauren-cummings-johnson-mourns-9-month-old-daughter-lily-ann,['entertainment'],['Pop Culture &amp; Art'],"Lauren Cummings Johnson and husband Wilson mourn the loss of their baby girl Lily Ann, aged nine months.",ONLY AVAILABLE IN PAID PLANS,2025-04-14 02:21:20,UTC,https://i.tribune.com.pk/media/images/lauren-cummings1744615401-0/lauren-cummings1744615401-0.jpg,,tribune_pk,The Express Tribune,36934,https://tribune.com.pk,https://i.bytvi.com/domain_icons/tribune_pk.jpg,english,['pakistan'],['top'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
b54fe568753e5e859b69f77682e8bcde,$1.5M NIL-valued Flau'jae Johnson set to hit the road as new member of BossMan Dlow's music tour,https://www.sportskeeda.com/college-basketball/news-1-5m-nil-valued-flau-jae-johnson-set-hit-road-new-member-bossman-dlow-s-music-tour,['college basketball'],['Koby del Rosario'],LSU Tigers guard Flau'jae Johnson is staying with her program for a fourth stint in the 2025-2026 season after all.,ONLY AVAILABLE IN PAID PLANS,2025-04-13 23:52:52,UTC,https://staticc.sportskeeda.com/editor/2025/04/7833e-17445884444404-1920.jpg,,sportskeeda,Sportskeeda,172,http://sportskeeda.com,https://i.bytvi.com/domain_icons/sportskeeda.png,english,['india'],['sports'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
be529c2ddb4a5c95455f891d1cd796e3,Baylor adds Oklahoma forward Kiersten Johnson from transfer portal,https://wacotrib.com/sports/college/baylor/article_6b9e78a2-9cbf-4023-ac5b-7bb486754ad0.html,,,"Oklahoma forward Kiersten Johnson committed to Baylor, the third offseason addition from the portal. She averaged 2.2 points and 1.9 rebounds in 6.5 minutes per game for the Sooners last year.",ONLY AVAILABLE IN PAID PLANS,2025-04-13 23:48:00,UTC,https://bloximages.chicago2.vip.townnews.com/wacotrib.com/content/tncms/assets/v3/editorial/e/80/e806bdfb-4611-4fad-bf02-ed8919cda2be/67fc4e8322199.image.jpg?crop=1646%2C864%2C148%2C181&order=crop%2Cresize&resize=1200%2C630,,wacotrib,Waco Tribune-herald,29226,https://wacotrib.com,https://i.bytvi.com/domain_icons/wacotrib.jpg,english,['united states of america'],['sports'],ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,False
