Date,Open,High,Low,Close,Volume
2007-10-03,70.88,72.0,68.38,68.56,1861300
2007-10-04,69.0,70.5,67.38,68.06,1395200
2007-10-05,69.06,69.75,67.56,68.81,1812000
2007-10-06,70.25,71.0,68.0,68.88,2308500
2007-10-07,71.25,72.0,69.38,70.69,1705200
2007-10-08,69.94,73.88,69.75,71.38,1502000
2007-10-09,72.97,73.0,69.75,72.0,2019800
2007-10-10,71.94,74.0,71.5,73.0,1112300
2007-10-11,73.94,74.0,72.0,72.44,842800
2007-10-12,73.5,75.88,71.13,75.13,996300
2007-10-13,75.94,79.0,72.94,73.81,1862400
2007-10-14,75.44,76.63,74.38,76.56,1200500
2007-10-15,77.56,78.56,74.38,75.0,2248100
2007-10-16,76.44,77.25,73.75,76.13,2270600
2007-10-17,76.44,77.5,75.13,75.63,1326700
2007-10-18,75.13,76.75,74.56,76.06,1574600
2007-10-19,76.25,76.38,73.25,74.75,1498600
2007-10-20,74.0,75.63,74.0,75.06,1026300
2007-10-21,75.5,75.5,72.61,73.81,502400
2007-10-22,72.25,74.06,71.25,71.56,1633200
2007-10-23,71.06,71.06,68.13,68.69,2776900
2007-10-24,67.88,68.44,66.38,66.56,2289000
2007-10-25,66.88,69.19,66.31,68.63,2908500
2007-10-26,71.0,71.06,66.44,66.69,2204100
2007-10-27,66.5,66.63,63.0,63.13,3576100
2007-10-28,62.56,63.0,59.88,60.63,3340000
2007-10-29,60.13,69.25,60.13,67.75,3720600
2007-10-30,69.38,70.88,63.0,65.5,1801700
2007-10-31,66.94,67.0,60.63,62.63,2261200
2007-11-01,63.13,63.5,60.0,60.19,3213600
2007-11-02,60.88,62.88,60.0,60.63,2022000
2007-11-03,62.0,62.69,60.0,61.88,2833500
2007-11-04,64.56,67.36,62.13,63.75,7561600
2007-11-05,71.13,71.88,67.25,67.5,8327200
2007-11-06,67.88,67.88,64.88,65.25,2180900
2007-11-07,65.25,65.38,61.88,63.38,2520100
2007-11-08,63.75,67.44,62.75,66.88,2328800
2007-11-09,68.94,69.0,65.81,67.0,1360800
2007-11-10,66.56,68.06,64.13,64.75,1124900
2007-11-11,64.75,67.0,64.0,66.13,1234200
2007-11-12,65.5,66.63,65.31,65.94,698500
2007-11-13,65.75,67.88,65.06,66.0,758000
2007-11-14,66.06,67.5,66.0,67.25,720500
2007-11-15,67.25,67.5,64.25,65.56,1846100
2007-11-16,63.0,65.81,59.94,60.06,1953300
2007-11-17,58.25,62.75,58.25,61.13,3731800
2007-11-18,61.44,62.63,60.63,61.75,2555300
2007-11-19,61.56,64.75,60.88,64.75,2063300
2007-11-20,65.38,67.25,63.63,67.25,2746800
2007-11-21,67.19,67.25,62.38,62.63,2404000
2007-11-22,62.75,63.38,61.75,62.31,2012800
2007-11-23,62.81,66.0,62.75,65.63,1381800
2007-11-24,66.63,67.38,65.63,66.31,1284200
2007-11-25,65.06,65.88,64.0,64.0,1300400
2007-11-26,63.72,64.38,62.5,63.13,1139800
2007-11-27,63.63,64.63,61.5,63.81,1062200
2007-11-28,64.5,64.88,62.0,62.88,1725000
2007-11-29,63.09,63.5,60.13,60.56,1473900
2007-11-30,60.16,63.38,58.88,63.0,1891500
2007-12-01,63.13,64.25,60.94,61.19,1116500
2007-12-02,60.81,64.0,60.81,62.69,1466100
2007-12-03,61.19,61.88,56.63,57.56,1428000
2007-12-04,57.13,58.13,53.44,55.06,4114800
2007-12-05,55.88,56.88,55.13,55.88,1691400
2007-12-06,55.94,61.63,55.63,61.31,3352400
2007-12-07,63.81,69.13,63.38,69.06,4936800
