Date,Open,High,Low,Close,Volume
2010-12-11,15.0,17.3,14.75,17.2,10893600
2010-12-12,17.55,17.69,16.5,16.76,2221800
2010-12-13,16.51,16.75,15.79,15.8,1677500
2010-12-14,16.0,16.21,15.436,16.0,567700
2010-12-15,16.0,16.7,15.83,16.4,528000
2010-12-16,16.4,16.94,16.03,16.07,521900
2010-12-17,16.08,16.2,15.9,16.03,438700
2010-12-18,16.1,16.98,16.05,16.98,248300
2010-12-19,16.93,17.0,16.48,17.0,304200
2010-12-20,16.9,16.9,16.05,16.31,446900
2010-12-21,16.31,16.31,15.66,15.74,544800
2010-12-22,15.94,16.57,15.9,16.4,149200
2010-12-23,16.6,16.83,16.15,16.75,195200
2010-12-24,16.74,16.74,16.08,16.08,418500
2010-12-25,16.05,16.05,15.58,15.65,591500
2010-12-26,15.75,15.8,14.94,15.34,451500
2010-12-27,15.4,16.4,14.96,16.0,819700
2010-12-28,16.05,16.17,15.83,16.01,238700
2010-12-29,16.01,16.18,15.53,16.06,561300
2010-12-30,16.1,16.1,11.05,11.7,6353800
2010-12-31,11.55,13.18,11.3,12.98,2456200
2011-01-01,12.95,13.5,12.75,13.04,418600
2011-01-02,13.55,13.55,12.88,13.28,321500
2011-01-03,13.38,13.43,13.1,13.14,187800
2011-01-04,13.05,13.22,12.6,12.99,383700
2011-01-05,13.0,13.35,12.95,12.96,227000
2011-01-06,12.96,13.2,12.55,13.01,203800
2011-01-07,12.98,13.08,12.57,12.81,324400
2011-01-08,12.8,13.09,11.99,12.13,736100
2011-01-09,12.13,12.15,11.95,11.98,686700
2011-01-10,11.99,11.99,10.68,10.9,757600
2011-01-11,10.9,11.0,10.71,10.77,449300
2011-01-12,10.95,11.05,10.86,10.99,280400
2011-01-13,11.0,11.04,10.88,11.0,183300
2011-01-14,10.95,10.95,10.59,10.62,157100
2011-01-15,10.72,10.73,9.92,9.99,394500
2011-01-16,9.99,10.05,9.47,9.59,624000
2011-01-17,9.6,9.85,9.0,9.72,542800
2011-01-18,9.88,10.99,9.88,10.97,742000
2011-01-19,10.9,12.15,10.68,11.95,424400
2011-01-20,11.95,12.25,11.7,12.17,327400
2011-01-21,12.5,13.2,11.89,12.6,1008700
2011-01-22,12.7,12.95,12.36,12.5,281900
2011-01-23,12.6,12.78,12.42,12.77,268100
2011-01-24,12.8,13.05,12.5,12.96,300200
2011-01-25,12.97,13.0,12.81,12.9,117800
2011-01-26,13.0,13.21,12.9,13.15,115900
2011-01-27,13.22,13.26,13.06,13.17,151500
2011-01-28,13.2,13.25,12.7,13.0,218600
2011-01-29,13.2,13.33,13.16,13.33,128200
2011-01-30,13.28,13.97,13.28,13.89,249700
2011-01-31,13.9,13.94,13.62,13.75,231000
2011-02-01,13.76,13.76,13.4,13.43,298000
2011-02-02,13.33,13.33,13.15,13.24,137500
2011-02-03,13.24,13.3,12.97,13.17,632300
2011-02-04,13.15,14.3,13.15,14.25,698800
2011-02-05,14.4,15.5,14.4,15.2,1086300
2011-02-06,15.2,16.09,15.0,15.91,513000
2011-02-07,15.92,17.14,15.7,16.34,1036800
2011-02-08,16.35,16.49,16.06,16.26,629600
2011-02-09,16.2,16.21,14.84,15.67,1121900
2011-02-10,15.75,16.1,15.69,16.01,149300
2011-02-11,16.05,16.9,16.05,16.36,581800
2011-02-12,16.3,16.3,15.81,16.07,519200
2011-02-13,16.07,16.07,15.65,15.71,279400
