Date,Open,High,Low,Close,Volume
2007-10-03,58.25,59.38,57.88,59.0,4212600
2007-10-04,58.63,58.94,57.31,57.75,3226800
2007-10-05,57.19,57.75,56.06,56.88,3958700
2007-10-06,57.5,57.5,56.06,56.69,3768500
2007-10-07,57.94,58.44,57.63,58.13,4104800
2007-10-08,57.94,58.94,57.69,58.81,2735000
2007-10-09,58.81,58.81,57.25,57.69,2228200
2007-10-10,57.06,58.25,57.0,57.88,2574500
2007-10-11,57.81,57.94,56.5,56.75,2422300
2007-10-12,57.0,57.5,56.56,57.5,2416300
2007-10-13,57.5,58.31,57.5,58.25,2770900
2007-10-14,58.31,59.25,57.75,59.25,3279400
2007-10-15,58.69,60.0,58.5,59.94,3952500
2007-10-16,60.0,60.81,59.25,60.44,3298200
2007-10-17,60.5,60.69,59.69,60.5,3750900
2007-10-18,61.5,66.06,61.5,65.38,12510900
2007-10-19,66.0,66.94,65.81,66.63,9632900
2007-10-20,66.44,68.44,66.19,67.94,5825600
2007-10-21,67.13,67.88,66.56,66.56,1653300
2007-10-22,65.88,67.19,65.75,67.06,4260100
2007-10-23,66.63,67.94,66.5,67.19,3775500
2007-10-24,66.69,69.0,66.69,68.19,5430800
2007-10-25,67.0,67.94,67.0,67.44,2376800
2007-10-26,68.25,69.0,67.81,68.31,3834100
2007-10-27,68.19,68.19,62.63,64.6,13263800
2007-10-28,62.5,62.75,58.75,59.0,18069100
2007-10-29,60.13,60.88,59.38,60.0,10011400
2007-10-30,61.0,62.19,60.06,62.13,6862700
2007-10-31,62.5,63.38,62.13,63.25,5859500
2007-11-01,63.0,63.0,61.38,62.0,2793100
2007-11-02,61.56,61.94,61.06,61.25,3560600
2007-11-03,61.0,61.19,59.38,59.88,4527100
2007-11-04,60.38,60.38,57.88,58.5,5302600
2007-11-05,58.5,59.88,57.38,59.75,8015000
2007-11-06,59.75,60.38,58.5,59.56,3791800
2007-11-07,59.69,60.0,58.13,58.44,3173200
2007-11-08,60.25,60.75,58.5,58.5,4526700
2007-11-09,59.5,60.25,58.81,59.25,3369700
2007-11-10,59.25,59.94,58.56,59.5,3091200
2007-11-11,59.38,59.63,58.69,59.13,2366100
2007-11-12,59.88,59.88,58.63,58.94,1827800
2007-11-13,59.19,59.44,58.44,58.44,1984600
2007-11-14,58.88,58.88,58.06,58.25,1414900
2007-11-15,57.31,58.0,55.25,56.25,5498500
2007-11-16,55.75,56.81,55.63,56.44,3654000
2007-11-17,56.44,57.44,56.06,57.06,4728700
2007-11-18,57.06,57.69,56.56,57.0,3564600
2007-11-19,58.5,60.75,57.88,60.75,5737000
2007-11-20,60.5,60.94,58.75,58.81,4361900
2007-11-21,60.94,61.25,60.13,60.81,4699000
2007-11-22,60.81,61.81,60.44,61.5,4194900
2007-11-23,61.44,61.44,60.44,60.56,3053000
2007-11-24,61.94,61.94,60.69,61.06,3756600
2007-11-25,61.31,65.0,61.06,65.0,9175400
2007-11-26,65.0,65.25,63.75,65.25,6406700
2007-11-27,65.31,65.94,65.13,65.88,5769900
2007-11-28,66.75,66.88,65.75,66.88,5692900
2007-11-29,66.0,66.75,63.56,64.88,5653000
2007-11-30,64.0,66.06,62.88,65.88,4859300
2007-12-01,64.25,65.5,62.75,63.06,11861900
2007-12-02,62.63,62.69,58.44,59.5,8775400
2007-12-03,59.44,59.56,56.94,56.94,5437600
2007-12-04,57.06,58.75,56.56,57.44,5367300
2007-12-05,57.75,58.38,56.31,58.13,4057300
2007-12-06,57.56,57.88,56.38,56.38,3582000
2007-12-07,56.5,56.75,55.06,55.25,4732200
2007-12-08,55.25,57.75,55.25,56.25,5750900
2007-12-09,56.06,57.63,55.56,56.88,3871400
2007-12-10,57.44,57.88,56.75,57.19,4130600
2007-12-11,57.0,57.75,56.75,57.0,3974300
2007-12-12,57.25,57.38,56.25,56.69,4015500
2007-12-13,55.75,55.94,54.88,55.56,3844300
2007-12-14,55.06,55.25,53.81,54.13,3567000
2007-12-15,53.38,55.75,53.25,55.69,3925400
2007-12-16,55.06,55.44,53.25,53.56,3434600
2007-12-17,53.5,53.56,51.19,52.31,5830500
2007-12-18,51.5,52.31,50.75,51.38,5721700
2007-12-19,50.81,52.63,50.5,51.75,5271500
2007-12-20,51.38,51.44,50.0,51.25,5510800
2007-12-21,50.38,50.5,48.31,49.81,7725800
2007-12-22,49.75,50.69,48.06,48.69,5452600
2007-12-23,48.06,49.69,47.56,49.31,5395400
2007-12-24,48.13,48.81,47.63,48.63,5173100
2007-12-25,49.19,51.38,49.19,51.0,7806100
2007-12-26,51.19,51.81,49.38,49.63,5679300
2007-12-27,50.13,50.38,49.06,50.13,4505300
2007-12-28,49.19,49.5,48.31,49.0,3933000
2007-12-29,48.38,49.0,44.81,47.13,11720100
2007-12-30,46.63,48.06,45.88,47.5,7220800
2007-12-31,47.56,47.56,45.88,46.75,6194700
2008-01-01,46.06,46.63,44.06,45.5,7029600
2008-01-02,43.25,44.31,43.13,43.75,7823200
2008-01-03,44.31,44.31,42.88,43.31,5581000
2008-01-04,43.69,47.81,43.5,47.56,11069100
2008-01-05,49.31,49.88,48.56,49.75,8805100
2008-01-06,49.38,49.94,48.75,49.13,7265400
2008-01-07,49.0,49.0,48.06,48.56,3377600
2008-01-08,47.38,49.69,47.38,49.44,4287900
2008-01-09,49.0,49.0,46.19,47.06,5942100
2008-01-10,47.0,48.38,46.44,47.0,5166900
2008-01-11,47.0,47.19,46.38,47.0,4384600
2008-01-12,46.81,47.13,45.25,45.25,5267700
2008-01-13,45.75,46.5,44.88,44.88,6836500
2008-01-14,45.38,47.06,45.31,46.88,8146300
2008-01-15,47.13,49.94,47.13,48.56,9397600
2008-01-16,48.69,48.69,46.94,46.94,4428500
2008-01-17,47.44,49.94,47.25,49.31,7093400
2008-01-18,49.5,52.38,48.19,52.38,13695100
2008-01-19,50.25,50.94,47.38,47.63,10128300
2008-01-20,47.88,47.94,44.75,45.75,10337500
2008-01-21,45.75,46.44,44.75,46.19,6187000
2008-01-22,46.5,47.19,44.88,45.0,6451500
2008-01-23,46.44,47.75,45.69,47.19,6048200
2008-01-24,48.0,49.94,47.69,48.5,7793200
2008-01-25,47.5,48.63,47.13,47.25,4446400
2008-01-26,46.25,47.56,46.06,47.0,4744100
2008-01-27,46.75,48.63,46.25,48.5,5355100
2008-01-28,48.31,49.13,46.38,48.63,6500500
2008-01-29,48.63,49.69,47.94,49.19,5036600
2008-01-30,48.5,49.44,48.0,49.44,4139300
2008-01-31,49.44,50.44,49.0,49.63,4688800
2008-02-01,49.31,50.5,48.19,50.5,4355800
2008-02-02,49.0,50.13,48.88,49.44,4768100
2008-02-03,48.5,49.13,47.44,48.25,4511600
2008-02-04,48.13,48.38,46.75,47.25,3784400
2008-02-05,46.63,47.0,46.25,46.25,3877000
2008-02-06,46.56,47.56,45.94,46.25,4604700
2008-02-07,46.13,48.81,46.13,48.5,7198700
2008-02-08,48.75,49.19,47.31,48.5,3421200
2008-02-09,47.56,48.0,46.75,47.06,2999600
2008-02-10,47.69,48.5,47.63,48.5,3006500
2008-02-11,50.0,51.25,49.94,50.5,11193000
2008-02-12,50.56,53.0,50.5,52.81,10531000
2008-02-13,53.81,53.81,53.0,53.56,7959700
2008-02-14,53.0,53.0,51.5,52.25,3749100
2008-02-15,52.0,52.75,51.0,51.75,4028300
2008-02-16,50.75,50.75,48.63,48.94,8238300
2008-02-17,48.63,49.19,48.0,48.25,4224300
2008-02-18,48.25,49.88,48.19,49.44,4049300
2008-02-19,49.06,50.31,49.06,50.06,5026800
2008-02-20,50.06,50.69,49.44,50.69,4858200
2008-02-21,50.0,50.19,49.69,50.0,3605000
2008-02-22,50.25,53.06,50.19,52.69,5394000
2008-02-23,52.56,52.94,52.0,52.69,3865900
2008-02-24,53.25,55.0,53.25,54.56,6190100
2008-02-25,54.94,55.0,53.06,53.88,3725600
2008-02-26,53.56,53.88,52.75,53.38,2770500
2008-02-27,53.19,54.63,53.06,53.25,2996900
2008-02-28,53.25,53.25,52.13,52.56,3162400
2008-02-29,52.31,52.88,51.75,52.0,2418700
2008-03-01,51.13,51.94,51.06,51.81,3304600
2008-03-02,52.0,53.25,51.88,53.0,3432600
2008-03-03,52.13,53.0,51.88,52.81,3889500
2008-03-04,52.81,53.38,52.13,52.31,2483000
2008-03-05,52.31,53.44,52.25,52.63,2061300
2008-03-06,53.0,54.0,52.81,53.38,2813100
2008-03-07,53.56,54.13,52.38,53.0,5082900
2008-03-08,53.88,56.13,53.81,55.88,10336200
2008-03-09,56.13,56.19,55.13,55.5,7165200
2008-03-10,54.0,54.88,54.0,54.44,3494900
2008-03-11,53.31,53.63,52.69,52.94,3473900
2008-03-12,53.94,54.31,53.0,53.5,4390300
2008-03-13,53.25,56.5,53.0,56.13,5832300
2008-03-14,56.0,58.31,55.63,57.88,7673000
2008-03-15,57.94,59.25,57.5,59.0,4950200
2008-03-16,58.75,58.88,57.5,57.88,5214800
2008-03-17,58.5,60.88,58.38,60.05,9494500
2008-03-18,59.88,60.19,58.75,59.06,6371600
2008-03-19,58.13,58.81,56.25,57.44,9561400
2008-03-20,58.13,58.5,57.81,58.19,3853600
2008-03-21,59.13,59.19,58.25,58.75,3480200
2008-03-22,58.31,58.94,57.81,58.94,2520600
2008-03-23,58.69,59.25,58.38,58.75,2521600
2008-03-24,58.63,58.69,57.25,57.56,3223600
2008-03-25,56.88,57.5,55.81,56.19,4067100
2008-03-26,55.31,56.5,55.25,56.13,3576900
2008-03-27,56.5,58.13,56.44,57.94,4225300
2008-03-28,57.88,58.44,57.0,57.63,2324000
2008-03-29,57.56,57.63,56.56,57.34,3501500
2008-03-30,57.31,58.75,56.63,58.19,3797600
2008-03-31,58.94,60.63,58.75,60.5,8217700
2008-04-01,60.5,60.69,59.88,60.5,4612800
2008-04-02,60.56,61.25,60.36,60.86,4070600
2008-04-03,60.0,60.0,59.06,59.25,3404100
2008-04-04,59.19,59.31,58.81,59.25,2332200
2008-04-05,59.38,60.0,58.63,58.81,5081200
2008-04-06,59.81,61.19,59.69,60.44,4558600
2008-04-07,60.31,63.0,60.06,62.69,6809500
2008-04-08,62.06,62.38,61.25,61.31,4008500
2008-04-09,61.81,64.0,61.31,63.0,4660700
2008-04-10,63.0,63.06,62.25,62.94,3331200
2008-04-11,62.06,63.75,62.06,63.0,3326700
2008-04-12,62.63,62.63,61.13,62.13,3003300
2008-04-13,61.56,61.75,61.13,61.38,2131800
2008-04-14,62.38,62.38,60.5,60.94,3067900
2008-04-15,60.31,60.44,59.69,59.81,3555800
2008-04-16,60.38,61.75,60.06,61.0,3107400
2008-04-17,61.06,62.75,61.0,62.25,3082700
2008-04-18,62.25,63.25,62.25,63.06,2664700
2008-04-19,62.31,62.56,61.63,62.0,2201300
2008-04-20,61.38,61.38,59.5,60.69,5864600
2008-04-21,60.19,60.63,59.56,59.69,2917000
2008-04-22,59.5,60.31,59.5,60.31,2637300
2008-04-23,59.75,59.94,59.13,59.81,2867500
2008-04-24,59.81,59.94,58.0,58.0,2121700
2008-04-25,58.94,59.19,57.94,58.79,3503700
2008-04-26,58.31,59.0,57.88,57.94,2309600
2008-04-27,57.38,57.44,55.0,56.0,6951000
2008-04-28,57.25,57.75,56.69,57.0,6312900
2008-04-29,56.75,56.88,56.06,56.31,2967300
2008-04-30,55.5,56.0,53.81,54.25,4696400
2008-05-01,54.19,54.19,51.5,52.64,8061900
2008-05-02,54.0,54.5,53.38,54.25,5026500
2008-05-03,54.0,57.06,53.5,56.31,5611500
2008-05-04,54.88,54.94,54.06,54.31,4927000
2008-05-05,54.38,54.56,53.25,54.0,3729100
2008-05-06,54.25,55.19,53.81,54.56,2626800
2008-05-07,54.25,54.69,52.31,53.0,3923000
2008-05-08,52.75,53.88,52.19,53.5,4124000
2008-05-09,53.5,53.69,52.06,52.5,3493200
2008-05-10,51.81,51.88,49.94,51.0,5590800
2008-05-11,51.0,52.13,50.5,50.81,6186900
2008-05-12,51.0,53.5,50.75,53.13,4379900
2008-05-13,53.31,53.5,52.06,52.88,3815200
2008-05-14,52.63,52.69,49.44,50.25,7345100
2008-05-15,49.75,50.81,49.19,49.56,5123600
2008-05-16,51.0,52.94,50.88,52.88,8174500
2008-05-17,52.63,54.25,52.63,53.56,4039800
2008-05-18,53.63,55.13,53.25,54.94,5134700
2008-05-19,54.94,55.88,54.0,55.63,5207300
2008-05-20,55.44,55.63,54.13,55.44,4176600
2008-05-21,55.56,56.63,55.0,55.13,5981300
2008-05-22,55.5,57.0,55.25,57.0,4758000
2008-05-23,57.13,57.38,56.13,56.31,3690400
2008-05-24,56.56,57.25,56.0,57.25,4139500
2008-05-25,57.31,59.38,57.31,59.13,5298200
2008-05-26,58.94,59.19,57.75,58.44,4808700
2008-05-27,58.19,58.81,57.81,57.81,2036500
2008-05-28,57.81,59.31,57.06,58.19,3140300
2008-05-29,58.44,59.56,57.75,58.56,3952000
2008-05-30,58.56,58.75,56.38,57.25,4276400
2008-05-31,56.75,57.69,56.38,57.19,3656200
2008-06-01,57.06,59.25,57.0,58.63,3527300
2008-06-02,57.75,58.94,57.0,57.94,3034900
2008-06-03,57.75,58.88,56.81,58.19,3669700
2008-06-04,56.5,57.44,56.13,57.13,2898800
2008-06-05,55.5,55.75,53.75,54.81,7327600
2008-06-06,54.88,55.94,53.88,55.31,3538900
2008-06-07,55.0,56.19,54.44,56.13,3167400
2008-06-08,55.94,58.44,55.63,57.94,4675100
2008-06-09,56.81,59.31,56.44,58.69,4675500
2008-06-10,57.63,59.31,57.63,58.94,3781100
2008-06-11,58.88,60.5,58.88,59.88,5263400
2008-06-12,59.63,60.94,58.69,60.38,4915000
2008-06-13,60.81,61.44,60.31,60.88,4144500
2008-06-14,60.94,61.44,60.06,60.75,4554200
2008-06-15,60.5,60.5,59.13,59.31,3034200
2008-06-16,59.13,61.0,58.81,60.5,2779100
2008-06-17,60.06,60.88,59.81,60.06,2118000
2008-06-18,59.81,60.63,59.06,60.19,2524100
2008-06-19,59.94,62.69,59.88,62.31,5927500
2008-06-20,62.81,63.06,61.88,61.88,5161700
2008-06-21,61.31,61.63,60.38,61.06,4087900
2008-06-22,60.56,61.31,59.63,60.56,3711700
2008-06-23,60.69,61.5,60.25,61.31,3753300
2008-06-24,61.25,62.31,61.06,61.94,3803700
2008-06-25,62.44,62.81,61.13,61.44,6046900
2008-06-26,58.75,58.88,55.94,56.56,9656600
2008-06-27,56.56,57.5,55.25,55.25,6997900
2008-06-28,58.5,60.31,58.25,59.56,6701900
2008-06-29,58.94,59.5,58.63,59.0,1952500
2008-06-30,58.56,60.06,58.06,59.56,3238400
2008-07-01,60.25,60.75,59.88,60.44,2908900
2008-07-02,59.75,62.5,59.75,62.13,4846000
2008-07-03,62.38,62.63,61.44,62.63,6408200
2008-07-04,62.06,62.38,61.31,62.19,4100600
