Date,Open,High,Low,Close,Volume
2012-04-09,40.3,47.2,40.2,46.0,39534300
2012-04-10,46.31,46.74,44.11,44.93,10304400
2012-04-11,44.97,44.98,42.85,44.0,4989800
2012-04-12,44.35,45.36,44.35,44.94,3000200
2012-04-13,44.93,48.1,44.9,47.51,6234400
2012-04-14,47.51,48.7,46.79,46.99,3725300
2012-04-15,47.05,49.75,47.0,49.15,3718800
2012-04-16,49.61,50.63,47.8,48.3,4904500
2012-04-17,48.33,48.4,46.75,47.6,2501300
2012-04-18,47.25,47.72,45.5,47.72,3443900
2012-04-19,48.8,48.8,47.68,47.91,1337200
2012-04-20,47.94,48.25,46.3,46.95,1454600
2012-04-21,46.75,47.35,45.3,45.5,1671600
2012-04-22,45.27,45.45,44.44,45.12,1597100
2012-04-23,45.4,46.12,45.13,45.95,1650000
2012-04-24,45.95,46.0,45.0,45.02,1228000
2012-04-25,45.05,45.45,44.1,44.34,1150900
2012-04-26,44.74,45.0,43.47,44.02,2379200
2012-04-27,44.02,46.25,44.0,45.3,1806300
2012-04-28,46.4,47.0,45.88,46.6,1303800
2012-04-29,47.0,47.93,46.87,46.95,1161200
2012-04-30,47.0,47.5,46.43,47.5,856500
2012-05-01,47.5,48.03,47.25,47.31,982600
2012-05-02,46.85,47.4,46.5,46.96,875600
2012-05-03,46.95,48.09,46.95,48.0,1447000
2012-05-04,47.65,48.0,46.6,48.0,2596400
2012-05-05,47.9,48.0,46.8101,47.3,702900
2012-05-06,47.4,47.84,46.71,47.6,1326600
2012-05-07,47.0,47.35,46.79,46.8,809700
2012-05-08,46.75,46.85,45.75,46.12,838000
2012-05-09,46.2,46.57,46.12,46.49,497800
2012-05-10,46.49,46.49,45.3,46.35,807900
2012-05-11,46.4,46.4,45.54,45.55,767200
2012-05-12,45.18,45.18,44.3,44.72,1662500
2012-05-13,44.62,44.68,43.9,43.95,966300
2012-05-14,44.1,44.17,43.75,43.99,645800
2012-05-15,43.99,44.1,43.67,43.9,1248300
2012-05-16,43.91,45.45,43.8,45.28,1584000
2012-05-17,45.4,45.78,45.1,45.55,882900
2012-05-18,45.55,45.55,44.77,45.28,851000
2012-05-19,45.45,45.53,44.99,45.0,501700
2012-05-20,45.2,46.4,45.16,46.08,690000
2012-05-21,46.14,47.85,45.8,46.68,1033800
2012-05-22,46.9,47.17,46.52,46.52,600900
2012-05-23,46.51,46.8,46.26,46.3,433900
2012-05-24,46.3,46.41,45.86,45.87,461600
2012-05-25,45.92,45.92,44.7,45.0,739000
2012-05-26,48.0,50.05,47.31,50.02,5337200
2012-05-27,49.13,50.24,48.65,49.99,2168900
2012-05-28,50.3,51.5,49.99,50.05,1421600
2012-05-29,50.25,51.3,50.25,51.1,691800
2012-05-30,51.1,52.67,51.0501,52.57,1407300
2012-05-31,53.0,54.5,52.0,52.85,1504300
2012-06-01,52.2,53.91,52.1,53.56,872500
2012-06-02,53.5,54.45,53.25,53.68,907800
2012-06-03,53.75,54.54,53.52,54.23,631400
2012-06-04,54.7,54.93,54.26,54.49,855300
2012-06-05,54.65,55.43,54.1601,54.27,1534400
2012-06-06,54.2,54.24,53.19,53.46,1021600
2012-06-07,53.1,53.65,52.46,53.45,934300
2012-06-08,53.3,55.55,52.8,54.26,1248700
2012-06-09,54.2,55.5,54.2,55.23,976100
2012-06-10,55.48,55.75,54.5416,54.6,1043900
2012-06-11,54.9,55.85,54.82,55.65,542000
2012-06-12,55.75,55.8525,54.93,55.0,801600
2012-06-13,54.85,55.45,54.766,55.02,374800
2012-06-14,55.25,55.65,55.1604,55.35,321100
2012-06-15,55.48,55.7756,55.17,55.25,580100
2012-06-16,55.25,56.17,55.25,55.9,702300
2012-06-17,55.97,57.5,55.97,56.55,2055900
2012-06-18,56.9,57.24,56.2501,56.85,461800
2012-06-19,56.9,58.88,56.57,58.88,1569400
2012-06-20,58.51,60.87,58.5,60.12,2654900
2012-06-21,61.0,61.25,59.29,59.75,1517600
2012-06-22,59.75,61.99,59.6,61.87,1706400
2012-06-23,60.99,62.1499,60.99,62.1,1699200
2012-06-24,62.0,62.3,60.9,61.35,1235500
2012-06-25,60.85,63.25,60.7,62.79,1301000
2012-06-26,62.79,65.2,62.79,64.97,1931400
2012-06-27,65.74,67.55,64.3,65.12,2365600
2012-06-28,65.0,66.15,64.3,64.84,1726300
2012-06-29,65.1,66.7,64.5,66.55,1347600
2012-06-30,67.53,69.6,67.01,69.05,2906300
2012-07-01,69.0,69.5,65.08,65.93,2987400
2012-07-02,65.25,65.7,62.2,64.4,3567700
2012-07-03,63.4,67.33,62.76,66.0,3996900
2012-07-04,66.999,67.9,65.45,67.84,1963300
2012-07-05,67.65,68.91,67.65,68.65,1339500
2012-07-06,68.65,70.45,67.56,70.35,2005600
2012-07-07,70.35,70.35,69.6566,69.96,1739300
2012-07-08,68.4,70.9,68.4,69.68,1673300
2012-07-09,70.0,70.41,68.75,69.53,1367900
2012-07-10,69.78,72.9,69.01,72.59,2575600
2012-07-11,72.4,75.85,72.01,75.15,3541000
2012-07-12,72.25,73.2299,70.9505,72.8,3708400
2012-07-13,71.15,73.25,70.5,71.91,2676400
2012-07-14,70.95,71.0,68.28,69.5,3548300
2012-07-15,69.1,70.82,68.72,70.41,1511700
2012-07-16,71.0,71.7,69.82,70.09,1132100
2012-07-17,70.0,71.71,69.85,71.3,880200
2012-07-18,71.1,71.2,69.27,69.5,986500
2012-07-19,69.61,71.18,69.54,70.45,856200
2012-07-20,70.45,72.9,69.75,72.33,1341400
2012-07-21,72.8,72.85,71.0,71.22,526400
2012-07-22,71.35,71.62,69.801,70.25,738900
2012-07-23,70.15,71.5,69.92,71.2,851200
2012-07-24,71.25,71.25,70.5,70.75,1134900
2012-07-25,70.85,74.0,69.89,72.2,2115200
2012-07-26,71.0,73.0,69.0001,72.64,2674100
2012-07-27,72.62,73.6,71.75,72.54,1747100
2012-07-28,72.28,76.25,71.94,74.1,3593000
2012-07-29,82.16,87.5,81.75,85.07,14128300
2012-07-30,83.1,88.08,82.5,87.6,6253600
2012-07-31,87.66,89.75,86.77,89.51,4247600
2012-08-01,90.0,97.14,89.99,96.3,9774900
2012-08-02,95.6,96.17,92.4,92.5,7162300
2012-08-03,91.5,92.0,88.05,88.44,6417200
2012-08-04,91.1,92.35,88.2,88.2,6298200
2012-08-05,88.64,90.5,87.76,89.2,2778200
2012-08-06,93.94,97.99,93.29,96.55,11416600
2012-08-07,96.8,97.24,94.39,95.2,3852400
