Date,Open,High,Low,Close,Volume
2016-05-23,42.05,45.0,38.0,38.2318,573576400
2016-05-24,36.53,36.66,33.0,34.03,168192700
2016-05-25,32.61,33.59,30.94,31.0,101786600
2016-05-26,31.37,32.5,31.36,32.0,73600000
2016-05-27,32.95,33.21,31.77,33.03,50237200
2016-05-28,32.9,32.95,31.11,31.91,37149800
2016-05-29,31.48,31.69,28.65,28.84,78063400
2016-05-30,28.695,29.55,27.86,28.19,57267900
2016-05-31,28.545,29.67,26.83,29.6,111639200
2016-06-01,28.892,29.15,27.39,27.72,41855500
2016-06-02,27.2,27.65,26.44,26.9,35230300
2016-06-03,26.7,27.76,25.75,25.869,42473400
2016-06-04,26.07,27.17,25.52,26.81,61489200
2016-06-05,27.0,27.35,26.15,26.31,26159500
2016-06-06,26.55,27.76,26.44,27.1,38034000
2016-06-07,27.18,28.07,26.835,27.005,28219600
2016-06-08,27.48,27.77,26.96,27.4,15816800
2016-06-09,27.66,28.1,27.1,27.27,17102800
2016-06-10,27.65,28.32,27.38,28.29,16855000
2016-06-11,28.505,30.1,28.35,30.014,43563800
2016-06-12,29.955,32.08,29.41,31.41,42978900
2016-06-13,31.535,32.18,30.7,31.911,30849000
2016-06-14,31.92,31.9288,31.15,31.6,15553600
2016-06-15,31.67,32.5,31.51,31.84,21875300
2016-06-16,32.41,33.45,32.06,33.05,74834000
2016-06-17,32.86,33.02,31.55,32.06,24352900
2016-06-18,32.69,33.44,32.5,33.1,24858700
2016-06-19,32.46,32.9,31.9,32.23,28568000
2016-06-20,31.96,32.19,30.9,31.36,17713300
2016-06-21,31.92,31.99,30.76,31.095,19526900
2016-06-22,31.25,31.73,30.55,30.771,14122000
2016-06-23,30.91,31.44,30.8,31.2,8763600
2016-06-24,31.32,31.625,31.02,31.47,10032100
2016-06-25,31.44,31.9,31.26,31.73,10945600
2016-06-26,32.1,32.88,31.99,32.17,17785200
2016-06-27,32.43,32.48,31.1599,31.47,14269500
2016-06-28,31.48,31.56,30.55,30.97,13030300
2016-06-29,30.7,31.4,30.6,30.81,11300700
2016-06-30,31.04,31.07,30.56,30.72,8108300
2016-07-01,30.5,30.5,28.21,28.245,24672100
2016-07-02,28.48,28.59,27.15,28.09,30438600
2016-07-03,28.31,29.29,28.15,29.11,16841800
2016-07-04,29.41,29.5,28.63,29.0,13685100
2016-07-05,29.0,29.47,28.72,28.76,11869100
2016-07-06,28.12,29.0,28.01,28.75,12390700
2016-07-07,28.82,29.45,28.1,28.45,11539800
2016-07-08,28.39,29.49,28.08,29.34,17230200
2016-07-09,27.75,28.23,26.73,26.845,64597400
2016-07-10,23.19,24.54,22.28,23.705,123102300
2016-07-11,23.995,24.04,23.03,23.15,29285900
2016-07-12,23.37,23.37,21.61,21.71,56179400
2016-07-13,21.5,21.58,20.84,20.88,44604400
2016-07-14,20.77,20.84,19.82,20.04,56374500
2016-07-15,20.36,22.16,19.9,21.09,80647000
2016-07-16,21.39,22.15,21.3,21.92,27778900
2016-07-17,22.2,22.45,20.5,20.72,36782900
2016-07-18,20.71,21.15,20.22,20.72,29537400
2016-07-19,20.75,21.17,20.61,21.01,15610700
2016-07-20,21.41,21.82,21.13,21.807,25794700
2016-07-21,22.15,22.45,21.4,21.6,24973100
2016-07-22,21.41,21.6,20.25,20.38,39308800
2016-07-23,20.64,21.41,20.4,21.2,47861100
2016-07-24,20.44,20.48,19.69,19.87,157565300
2016-07-25,20.005,20.08,19.0,19.05,129293400
2016-07-26,19.05,20.13,18.75,20.011,101186600
2016-07-27,19.58,19.98,19.09,19.159,70640600
2016-07-28,19.36,19.53,18.96,19.439,49892200
2016-07-29,19.5,19.73,19.36,19.44,32813700
2016-07-30,19.52,19.68,19.25,19.409,29622200
2016-07-31,19.49,19.53,19.1,19.15,20704000
2016-08-01,19.1,19.38,18.95,19.34,25417000
2016-08-02,19.32,19.38,19.07,19.1,16124700
2016-08-03,19.27,19.45,19.06,19.0885,30647500
2016-08-04,18.68,18.7,18.03,18.058,58764200
2016-08-05,18.08,18.27,17.55,17.729,46622400
2016-08-06,18.27,18.75,18.18,18.58,60781800
2016-08-07,18.74,19.2617,18.72,18.96,46066500
2016-08-08,19.1,19.42,18.78,18.98,36371700
2016-08-09,19.06,19.2,18.55,18.81,24797800
2016-08-10,18.92,19.581,18.85,19.43,50508200
2016-08-11,20.76,21.16,20.28,20.931,121584000
2016-08-12,20.955,21.48,20.61,20.713,65041600
2016-08-13,21.13,22.08,20.9,22.0,72819800
2016-08-14,22.67,22.75,21.5,21.52,50667600
2016-08-15,21.6,21.98,21.37,21.87,36760500
2016-08-16,21.99,23.37,21.77,23.29,78782800
2016-08-17,23.02,23.24,22.54,22.59,57248900
2016-08-18,22.97,23.24,22.6,22.86,51218100
2016-08-19,21.78,21.98,20.3625,20.79,79106500
2016-08-20,21.2,21.21,20.22,20.28,46291700
2016-08-21,20.145,20.78,19.8,20.62,38271900
2016-08-22,20.99,21.0,20.16,20.32,30215900
2016-08-23,20.57,21.95,20.5,21.66,65486000
2016-08-24,22.08,22.59,21.73,21.99,51262700
2016-08-25,22.08,22.49,21.82,22.27,29341400
2016-08-26,22.295,22.49,21.8,21.83,32000100
2016-08-27,22.32,22.4,21.41,21.9475,46892100
2016-08-28,21.49,21.63,20.88,20.91,40529300
2016-08-29,20.4,20.75,20.155,20.4,32236700
2016-08-30,20.39,20.55,19.97,20.227,27161800
2016-08-31,19.93,19.94,19.45,19.64,39321800
2016-09-01,19.88,19.96,19.61,19.75,21817300
2016-09-02,19.75,19.8,19.48,19.5181,18809400
2016-09-03,19.68,19.88,19.49,19.52,20189700
2016-09-04,19.68,19.69,19.3,19.48,21834700
2016-09-05,19.5,20.48,19.3718,19.88,44074500
2016-09-06,19.7,19.79,18.89,18.975,52157400
2016-09-07,19.0,19.06,18.8,19.0,34835000
2016-09-08,19.25,19.43,19.05,19.321,32447300
2016-09-09,19.25,19.8,19.1,19.5,78381200
2016-09-10,24.13,24.25,22.85,23.2299,228949900
2016-09-11,23.29,23.31,22.47,22.56,76142000
2016-09-12,22.4,22.88,21.88,21.9425,73175800
2016-09-13,20.82,21.5,20.73,21.11,99378200
2016-09-14,21.08,21.44,21.01,21.21,37713900
2016-09-15,21.26,21.69,21.07,21.18,38344400
2016-09-16,21.1,21.48,20.92,21.25,31806700
2016-09-17,21.24,21.37,20.99,21.1712,29062700
2016-09-18,20.85,20.95,20.37,20.47,33396800
2016-09-19,20.52,20.73,19.98,19.99,34254600
2016-09-20,19.955,20.0,19.13,19.21,42295500
2016-09-21,19.15,20.17,18.87,20.07,67349200
2016-09-22,19.605,20.11,19.56,19.86,71775100
2016-09-23,20.1,22.5,19.93,22.36,229751000
2016-09-24,22.34,22.5,21.65,22.17,78857700
2016-09-25,22.25,23.93,22.18,23.5607,107182200
2016-09-26,23.955,24.12,22.82,22.92,85021300
2016-09-27,22.73,23.9,22.7,23.1,46655300
2016-09-28,23.22,24.53,23.05,24.32,89862400
2016-09-29,24.58,24.68,23.88,23.998,29520900
2016-09-30,24.935,26.09,24.81,25.94,123865000
2016-10-01,26.04,26.5,25.46,26.15,85760600
2016-10-02,25.94,26.49,25.75,26.36,49205600
2016-10-03,26.5,27.52,26.16,27.32,88759700
2016-10-04,27.26,28.0,26.76,28.0,127049600
2016-10-05,27.9999,28.88,26.98,27.04,123526100
2016-10-06,27.06,27.76,26.68,27.46,72869200
2016-10-07,27.75,27.9,27.26,27.71,58976300
2016-10-08,27.68,27.75,26.82,26.97,46001500
2016-10-09,27.07,27.78,26.84,27.485,51751900
2016-10-10,27.17,28.17,27.1,27.84,50608500
2016-10-11,28.07,28.24,27.66,27.98,77099100
2016-10-12,28.0,28.14,27.37,27.5801,46704200
2016-10-13,27.59,28.75,27.43,28.24,81051600
2016-10-14,28.18,28.33,26.76,26.812,91631600
2016-10-15,26.77,27.0,26.32,26.75,57742500
2016-10-16,26.96,27.91,26.9,27.71,60512900
2016-10-17,27.83,28.22,26.95,27.41,61390300
2016-10-18,27.49,27.6,27.13,27.36,35574800
2016-10-19,26.66,27.01,26.12,26.26,54555200
2016-10-20,26.5,26.96,26.2,26.93,28230100
2016-10-21,27.03,27.18,26.375,26.51,33175400
2016-10-22,26.55,26.8,25.52,26.05,43481700
2016-10-23,25.48,26.11,25.15,25.9112,56574800
2016-10-24,26.2,26.99,26.11,26.6197,60374500
2016-10-25,27.44,28.18,27.42,28.0,69846400
2016-10-26,27.88,28.47,27.59,27.77,63140600
2016-10-27,28.01,28.93,27.83,28.76,72715400
2016-10-28,28.69,29.79,28.65,29.4213,83781800
2016-10-29,29.51,29.6,28.86,29.0607,45871300
2016-10-30,29.67,30.6,29.49,30.59,104787700
2016-10-31,30.6,31.45,30.28,31.3,95316400
2016-11-01,31.28,31.96,31.1,31.72,89598000
2016-11-02,32.08,32.21,30.62,30.9475,98892800
2016-11-03,30.64,31.71,29.88,30.1,173242600
2016-11-04,30.21,30.35,29.53,29.85,75332700
2016-11-05,30.08,30.42,30.03,30.14,40256700
2016-11-06,30.31,30.44,29.27,29.66,49631500
2016-11-07,29.75,30.89,29.74,30.729,55243300
2016-11-08,31.1,31.5,30.8,30.82,48899800
2016-11-09,31.27,31.49,30.81,31.08,43845100
2016-11-10,31.41,31.93,31.13,31.54,54363600
2016-11-11,31.88,32.5063,31.81,32.469,59682500
2016-11-12,32.0,32.07,30.71,30.79,72976500
2016-11-13,30.98,31.49,30.88,31.24,87682100
2016-11-14,29.15,31.47,28.74,30.981,190744900
2016-11-15,31.01,31.02,29.63,29.73,85856700
2016-11-16,29.06,29.2,28.01,28.109,92362200
2016-11-17,28.26,28.96,28.04,28.64,47948200
2016-11-18,28.74,29.29,28.66,29.05,38375900
2016-11-19,29.11,29.15,28.27,28.65,34540100
2016-11-20,28.89,29.17,28.51,28.545,37708800
2016-11-21,28.61,28.68,28.04,28.26,37361800
2016-11-22,27.67,28.16,27.1,27.37,93498700
2016-11-23,27.36,28.32,27.31,27.9075,50164000
2016-11-24,28.02,28.63,28.01,28.5,35615800
2016-11-25,28.52,28.75,28.09,28.32,33109300
2016-11-26,28.23,29.08,28.12,28.93,49396400
2016-11-27,28.92,29.05,28.33,28.462,42098200
2016-11-28,28.28,28.55,27.15,27.283,49642300
2016-11-29,27.62,27.63,26.82,27.13,36350200
2016-11-30,27.16,27.64,27.15,27.27,34652000
2016-12-01,27.36,27.46,26.7,27.39,31611700
2016-12-02,27.34,27.34,26.63,26.87,44319700
2016-12-03,26.84,27.3,26.34,27.25,83027800
2016-12-04,27.05,28.1164,26.81,27.78,54064800
2016-12-05,27.76,28.06,27.44,27.72,32400700
2016-12-06,27.88,28.18,27.21,27.52,40622200
2016-12-07,28.1,28.13,27.35,27.4525,33532600
2016-12-08,27.57,28.675,27.47,28.578,74540200
2016-12-09,28.425,28.47,27.73,27.96,44198900
2016-12-10,28.01,28.64,27.83,28.14,35642100
2016-12-11,28.1,28.32,27.6,27.83,27569600
2016-12-12,27.62,27.65,26.92,27.08,39619500
2016-12-13,27.1,27.43,26.83,27.04,27646400
2016-12-14,27.03,27.06,26.56,26.645,31597400
2016-12-15,26.37,26.79,25.78,26.49,26653700
2016-12-16,26.53,26.9,26.21,26.55,25254200
2016-12-17,26.68,26.69,25.78,25.86,44006500
2016-12-18,25.66,26.11,25.56,25.74,24336100
2016-12-19,25.796,26.01,25.63,25.73,18456300
2016-12-20,25.75,25.8,25.078,25.131,39199000
2016-12-21,25.08,25.48,25.03,25.205,26957200
2016-12-22,25.0,26.28,24.72,26.09,52297400
2016-12-23,26.09,26.17,25.52,25.58,28585700
2016-12-24,25.63,25.89,25.28,25.53,22249300
2016-12-25,25.77,26.12,25.3,25.42,35153300
2016-12-26,25.83,26.39,25.7,26.25,48195200
2016-12-27,26.62,27.2301,26.11,27.0725,82016800
2016-12-28,26.86,27.8,26.61,27.39,64566600
2016-12-29,27.19,27.2,26.63,26.849,27256000
2016-12-30,26.58,26.89,26.42,26.59,21311100
2016-12-31,27.0099,27.84,26.9,27.57,45949400
2017-01-01,27.48,28.1,27.25,28.0175,33368500
2017-01-02,28.0,28.0,27.24,27.4,28697400
2017-01-03,27.16,27.48,26.36,26.52,30275400
2017-01-04,26.81,27.11,26.4,26.92,27365900
2017-01-05,26.65,27.2,26.39,26.625,26440600
2017-01-06,26.82,26.82,25.15,25.69,39059000
2017-01-07,25.62,25.96,25.33,25.73,20380900
2017-01-08,25.81,26.36,25.7,25.97,25687600
2017-01-09,26.215,26.33,25.77,25.98,25191500
2017-01-10,25.93,26.4,25.8,26.11,19729900
2017-01-11,26.07,26.4,26.0,26.14,17150000
2017-01-12,26.6,27.62,26.6,26.85,33018000
2017-01-13,27.16,27.41,26.86,26.98,29201100
2017-01-14,27.13,27.85,27.005,27.769,36245700
2017-01-15,27.85,27.915,27.31,27.43,64567600
2017-01-16,28.0099,29.02,27.98,28.97,104257000
2017-01-17,29.04,29.07,28.15,28.311,58506400
2017-01-18,28.33,28.46,27.48,27.57,43939400
2017-01-19,27.55,27.85,26.85,26.889,41259100
2017-01-20,26.88,27.3,26.65,27.12,34654900
2017-01-21,27.08,27.55,26.85,27.04,33457200
2017-01-22,27.14,27.3,26.57,26.68,30847100
2017-01-23,26.6,27.325,26.531,26.82,29068800
2017-01-24,26.8854,27.28,26.82,27.07,24930300
2017-01-25,26.92,26.99,26.4,26.6,30299800
2017-01-26,26.48,26.55,25.9,26.13,35499100
2017-01-27,26.4,26.6,26.2,26.25,29462700
2017-01-28,26.18,26.19,25.69,25.759,42402900
2017-01-29,25.87,26.075,25.59,25.66,26261300
2017-01-30,25.65,25.85,24.92,25.159,45314500
2017-01-31,24.8,25.53,24.77,25.06,37663100
2017-02-01,24.97,24.97,24.08,24.3125,58727900
2017-02-02,24.54,24.54,23.92,24.1,50079700
2017-02-03,23.79,23.81,23.26,23.32,64237800
2017-02-04,24.13,24.779,23.93,24.55,60733200
2017-02-05,24.63,24.95,24.27,24.348,35925000
2017-02-06,24.265,24.32,23.71,23.848,35733800
2017-02-07,23.89,23.93,23.32,23.52,34760800
2017-02-08,23.35,23.705,22.79,22.899,53819700
2017-02-09,22.99,23.09,22.67,22.97,31260700
2017-02-10,23.03,23.4,22.86,23.291,38699200
2017-02-11,24.06,24.6,23.99,24.33,58393000
2017-02-12,24.03,24.35,24.0,24.03,29885900
2017-02-13,24.16,24.26,23.58,23.77,26445800
2017-02-14,23.72,23.83,23.265,23.73,31189300
2017-02-15,23.56,23.89,23.26,23.63,30677100
2017-02-16,23.91,24.25,23.75,24.022,33664500
2017-02-17,24.09,24.69,24.08,24.21,36709100
2017-02-18,24.2,25.19,24.1,24.309,31790600
2017-02-19,24.28,24.745,23.65,23.9,42765600
2017-02-20,24.59,24.7,24.05,24.53,45833900
2017-02-21,23.95,24.11,23.38,23.935,40626000
2017-02-22,24.14,24.43,24.04,24.25,24713200
2017-02-23,24.51,24.65,23.99,24.16,29890300
2017-02-24,24.24,24.84,24.21,24.66,34694100
2017-02-25,24.68,24.98,24.42,24.88,96778900
2017-02-26,24.9694,25.0601,24.62,24.81,20582200
2017-02-27,24.7,24.77,24.3,24.41,18394100
2017-02-28,24.22,24.71,24.15,24.52,10404400
2017-03-01,24.65,24.66,24.2,24.37,20229500
2017-03-02,24.47,25.04,24.42,24.71,27064600
2017-03-03,25.07,25.49,25.03,25.48,30387900
2017-03-04,25.58,25.83,25.47,25.8,26721800
2017-03-05,25.96,26.0,25.45,25.81,26777400
2017-03-06,25.74,25.93,25.55,25.91,16537900
2017-03-07,25.93,26.43,25.65,26.28,24234000
2017-03-08,26.39,26.75,26.01,26.32,30817600
2017-03-09,26.37,26.78,26.3,26.65,21518500
2017-03-10,26.75,26.77,26.12,26.18,24806900
2017-03-11,25.82,26.1077,25.6,25.881,46539700
2017-03-12,25.99,26.13,25.72,26.045,27526300
2017-03-13,26.1,26.3,25.97,26.13,28221600
2017-03-14,26.32,26.53,26.05,26.51,82635600
2017-03-15,33.545,34.88,32.75,34.359,365457900
2017-03-16,33.77,34.73,33.56,34.01,136028900
2017-03-17,34.07,35.63,34.01,35.43,124718800
2017-03-18,35.65,37.96,35.32,37.627,173582800
2017-03-19,37.96,38.31,36.33,36.8,154828700
2017-03-20,37.3,38.29,36.92,37.489,106066500
2017-03-21,37.66,38.49,37.5,38.05,73058500
