Date,Open,High,Low,Close,Volume
2007-10-01,93.25,94.19,92.12,92.37,26630600
2007-10-02,92.75,94.5,91.94,92.56,23174500
2007-10-03,92.94,93.5,91.5,92.0,22258500
2007-10-04,92.31,92.75,90.31,91.75,27119700
2007-10-05,91.81,92.87,90.5,91.56,35083700
2007-10-06,84.81,90.75,84.37,89.94,121909600
2007-10-07,89.75,89.87,86.44,88.87,54884900
2007-10-08,88.12,89.12,86.44,87.12,34692700
2007-10-09,88.25,90.44,88.25,89.62,34637300
2007-10-10,89.75,90.0,87.06,89.19,24707100
2007-10-11,88.25,88.5,86.94,87.0,23540200
2007-10-12,86.94,87.75,85.87,87.31,29582600
2007-10-13,86.44,87.06,85.0,85.0,33409500
2007-10-14,84.94,85.81,84.5,84.94,32246600
2007-10-15,84.44,86.56,84.37,86.0,29113000
2007-10-16,89.62,90.37,88.44,89.81,45298300
2007-10-17,89.25,91.37,88.37,89.62,35393700
2007-10-18,89.56,92.25,89.5,91.69,26885500
2007-10-19,91.62,93.37,91.0,91.12,14257100
2007-10-20,90.12,92.06,89.5,90.19,25730100
2007-10-21,89.75,92.87,89.56,91.05,32072800
2007-10-22,91.06,93.94,90.87,93.19,24432100
2007-10-23,93.06,95.25,92.87,94.81,27736900
2007-10-24,95.81,97.12,95.73,96.12,32050300
2007-10-25,95.25,97.19,94.75,95.44,24549100
2007-10-26,94.75,94.87,92.87,93.0,28429600
2007-10-27,93.12,94.31,91.69,91.75,20477900
2007-10-28,92.0,93.31,91.44,92.75,23129100
2007-10-29,93.37,94.12,92.25,93.87,18418000
2007-10-30,93.61,96.94,92.75,96.62,26345800
2007-10-31,96.19,101.12,95.31,98.69,72058100
2007-11-01,98.56,108.75,98.5,108.44,77785800
2007-11-02,109.25,115.0,108.94,113.69,64330100
2007-11-03,116.62,117.12,113.62,115.25,52949400
2007-11-04,114.81,115.0,111.19,112.75,19716900
2007-11-05,112.37,116.62,110.62,115.87,28723000
2007-11-06,116.3,118.0,115.12,117.56,19282600
2007-11-07,117.25,119.25,116.75,117.44,15514200
2007-11-08,118.44,119.25,116.12,119.12,16101100
2007-11-09,118.75,118.81,117.06,117.5,12295500
2007-11-10,116.94,118.37,116.81,117.94,8724600
2007-11-11,117.87,119.94,117.12,117.62,11180000
2007-11-12,117.5,117.75,116.25,116.75,6258800
2007-11-13,117.37,118.62,112.0,116.56,26614200
2007-11-14,113.56,117.12,112.25,112.62,27059500
2007-11-15,111.12,116.37,109.37,113.81,32029800
2007-11-16,112.19,113.87,108.37,110.0,27488300
2007-11-17,108.62,112.25,107.31,111.44,31006800
2007-11-18,113.44,113.69,111.37,112.25,22481800
2007-11-19,111.5,114.25,108.69,109.37,23371800
2007-11-20,108.5,108.87,104.44,105.81,33266200
2007-11-21,104.37,108.62,101.5,107.81,41572000
2007-11-22,107.19,113.94,105.75,112.25,36708200
2007-11-23,111.81,116.5,111.75,115.31,40741800
2007-11-24,110.5,111.5,106.0,107.0,48784100
2007-11-25,107.06,109.69,105.87,106.0,28174900
2007-11-26,107.0,107.25,103.25,103.75,34208100
2007-11-27,103.8,105.69,100.81,101.25,31798800
2007-11-28,101.0,103.87,99.56,102.81,29911600
2007-11-29,102.44,103.5,99.12,99.37,24682500
2007-11-30,99.89,101.19,97.25,98.75,31827400
2007-12-01,98.12,100.25,97.25,98.25,29112700
2007-12-02,97.62,98.19,94.87,97.87,36597100
2007-12-03,98.5,103.25,97.69,102.94,35098300
2007-12-04,102.44,103.94,100.5,100.81,24957800
2007-12-05,102.06,104.19,100.12,103.62,24593000
2007-12-06,104.37,108.0,104.14,106.56,27682700
2007-12-07,106.81,106.87,104.25,106.62,20002900
2007-12-08,106.44,110.0,106.44,109.94,28114500
2007-12-09,109.44,109.44,103.87,104.0,27545000
2007-12-10,103.89,106.56,102.5,106.0,27263900
2007-12-11,104.87,104.87,99.12,99.94,57779500
2007-12-12,101.23,101.75,99.06,99.62,40514300
2007-12-13,99.75,100.0,98.12,98.56,35513800
2007-12-14,99.25,100.19,97.12,97.62,32601300
2007-12-15,98.5,99.69,97.14,99.62,40171700
2007-12-16,100.0,100.06,94.87,95.06,39531500
2007-12-17,95.12,97.12,92.81,93.81,33148100
2007-12-18,93.5,95.75,92.06,94.25,37923600
2007-12-19,94.25,95.87,92.0,94.75,34866600
2007-12-20,94.69,94.7,90.5,91.31,32650700
2007-12-21,90.25,92.12,88.12,91.56,38065900
2007-12-22,91.75,91.75,88.87,89.37,29218700
2007-12-23,89.62,94.09,88.94,90.81,53444900
2007-12-24,91.81,95.37,91.12,93.37,53466300
2007-12-25,94.75,98.87,93.87,96.12,50717600
2007-12-26,96.0,97.37,90.12,90.62,46804700
2007-12-27,96.12,97.5,91.94,92.87,67530500
2007-12-28,93.81,96.19,91.0,95.56,47145000
2007-12-29,95.31,100.0,95.0,100.0,44099400
2007-12-30,99.56,102.5,99.5,101.0,42794500
2007-12-31,97.62,100.25,97.5,98.0,30915900
2008-01-01,98.62,99.25,95.12,95.12,36744600
2008-01-02,94.56,96.62,93.69,95.37,26604000
2008-01-03,95.94,96.69,93.25,95.37,38650400
2008-01-04,95.25,99.5,94.5,99.37,40580800
2008-01-05,98.75,99.75,96.5,97.37,23886500
2008-01-06,96.75,103.12,96.5,102.75,40824400
2008-01-07,102.81,105.62,101.12,103.25,46987900
2008-01-08,106.81,112.87,106.62,111.87,74112000
2008-01-09,112.62,115.0,109.56,111.69,56098400
2008-01-10,107.77,108.25,103.94,104.06,55717000
2008-01-11,103.62,107.44,102.37,104.31,40557200
2008-01-12,105.19,108.94,105.12,107.19,32181900
2008-01-13,106.19,108.62,102.5,103.37,32089200
2008-01-14,106.0,108.25,104.12,106.25,32140700
2008-01-15,94.44,96.5,90.0,90.87,130059100
2008-01-16,91.56,92.0,84.94,88.56,90622200
2008-01-17,88.25,88.5,85.87,86.37,41443800
2008-01-18,87.87,88.0,85.27,86.0,33210700
2008-01-19,87.0,89.37,85.0,89.06,41306800
2008-01-20,88.62,88.62,86.0,86.06,30342700
2008-01-21,85.12,86.06,83.5,83.87,35980900
2008-01-22,82.12,82.25,78.75,79.37,76501900
2008-01-23,80.87,82.25,79.0,79.25,47158100
2008-01-24,79.12,79.5,73.25,74.12,75608900
2008-01-25,74.25,76.0,73.0,75.87,59886100
2008-01-26,76.5,81.94,75.87,80.56,45897300
2008-01-27,81.44,81.5,78.12,78.69,26857700
2008-01-28,78.62,79.87,77.5,78.94,26193700
2008-01-29,67.25,68.0,65.0,66.62,156822900
2008-01-30,68.75,69.5,67.62,69.37,79758700
2008-01-31,70.0,71.12,67.37,68.0,53545600
2008-02-01,67.44,69.94,67.37,69.81,38834900
2008-02-02,70.75,71.0,68.25,69.75,39041300
2008-02-03,72.87,74.0,71.69,73.44,53905500
2008-02-04,72.81,73.5,69.5,69.87,48858100
2008-02-05,70.37,70.81,68.81,70.56,27677400
2008-02-06,70.31,71.25,69.31,70.44,21658600
2008-02-07,70.25,71.81,69.87,71.12,18201100
2008-02-08,70.94,71.37,69.69,69.81,18093800
2008-02-09,70.19,70.44,67.5,67.81,30389200
2008-02-10,67.75,67.87,65.75,66.19,33870000
2008-02-11,66.62,68.12,65.75,67.87,29195400
2008-02-12,68.44,69.75,68.25,68.81,18943000
2008-02-13,69.0,69.44,68.0,69.37,16949800
2008-02-14,69.56,70.62,69.06,69.5,24205300
2008-02-15,68.87,69.12,67.25,67.69,26621000
2008-02-16,68.06,68.06,65.87,66.19,26820200
2008-02-17,65.37,65.94,64.5,65.06,33289000
2008-02-18,65.12,65.25,62.44,64.19,34977500
2008-02-19,63.88,65.56,63.06,63.19,28981600
2008-02-20,63.13,66.56,63.0,65.56,42741200
2008-02-21,64.56,64.75,61.13,61.5,47174400
2008-02-22,62.06,62.63,60.38,61.44,27911000
2008-02-23,62.44,64.12,62.0,63.38,34268200
2008-02-24,63.64,63.7,62.06,62.56,27484100
2008-02-25,64.37,66.0,63.81,64.56,47253600
2008-02-26,66.0,66.75,65.0,66.31,40231600
2008-02-27,66.02,68.37,66.0,66.87,32200000
2008-02-28,68.19,69.87,67.81,69.62,49509500
2008-02-29,69.25,70.75,67.12,70.5,38155300
2008-03-01,71.56,72.12,68.25,68.81,47382800
2008-03-02,69.62,69.69,68.31,68.81,17855100
2008-03-03,69.0,69.0,66.37,66.87,24630300
2008-03-04,66.75,68.0,66.12,67.87,22144600
2008-03-05,69.81,71.0,69.5,70.5,39996200
2008-03-06,70.81,72.69,70.62,72.37,32796300
2008-03-07,72.62,73.12,71.5,72.56,34355300
2008-03-08,72.56,73.81,72.0,73.69,23302400
2008-03-09,73.87,75.25,73.75,74.94,31137500
2008-03-10,77.0,82.19,76.94,80.69,80199800
2008-03-11,81.37,82.0,79.31,79.87,43657600
2008-03-12,79.94,80.06,77.0,77.69,24905800
2008-03-13,77.5,80.12,77.5,79.5,24143500
2008-03-14,79.25,80.12,78.37,78.81,15535600
2008-03-15,79.0,80.06,78.62,78.94,18729600
2008-03-16,78.25,78.94,77.06,77.19,19224500
2008-03-17,77.06,80.0,76.69,80.0,26178200
2008-03-18,79.69,80.06,79.37,80.0,7867400
2008-03-19,79.87,79.87,78.25,78.5,17412200
2008-03-20,78.87,81.69,78.5,80.94,23936600
2008-03-21,81.27,82.87,80.56,82.0,27076600
2008-03-22,80.69,81.31,79.37,79.44,26344900
2008-03-23,78.81,80.5,78.5,79.12,18582400
2008-03-24,78.25,81.0,77.19,80.31,29185100
2008-03-25,78.81,80.0,77.37,79.94,40421600
2008-03-26,79.5,79.75,78.44,78.94,25590300
2008-03-27,78.25,79.56,77.5,78.19,26996400
2008-03-28,77.62,79.5,77.44,78.5,35308600
2008-03-29,76.06,77.5,72.81,73.12,69962300
2008-03-30,73.44,75.25,73.12,74.81,27345300
2008-03-31,74.75,75.0,71.87,72.31,28050300
2008-04-01,72.06,72.12,70.0,70.56,28082800
2008-04-02,70.81,71.0,68.37,69.0,32094300
2008-04-03,69.06,69.5,67.25,67.81,42702300
2008-04-04,67.87,70.12,67.5,69.37,37168800
2008-04-05,70.94,71.81,69.62,69.69,37822800
2008-04-06,70.19,71.12,69.25,69.81,35141900
2008-04-07,69.94,70.06,68.19,68.69,23581800
2008-04-08,68.56,70.44,68.5,69.37,24134600
2008-04-09,68.19,70.37,68.12,70.25,27271700
2008-04-10,69.44,69.87,68.19,69.12,19053700
2008-04-11,70.19,71.12,69.75,70.0,26370900
2008-04-12,70.06,74.69,70.0,74.12,69019400
2008-04-13,73.75,74.87,73.12,74.25,31972800
2008-04-14,73.81,74.06,71.75,72.62,24493000
2008-04-15,72.44,72.69,71.62,72.44,17814800
2008-04-16,72.31,73.37,71.37,72.19,26713500
2008-04-17,72.0,73.0,71.5,71.62,20357100
2008-04-18,71.87,72.25,70.56,71.0,22488100
2008-04-19,71.12,72.0,70.56,71.56,18056400
2008-04-20,71.12,71.44,70.0,71.0,27219400
2008-04-21,70.69,70.81,70.06,70.62,17059800
2008-04-22,70.81,72.44,70.22,71.25,27214100
2008-04-23,70.81,71.12,70.37,70.75,18363400
2008-04-24,70.62,71.19,69.94,71.12,21202700
2008-04-25,70.69,71.69,70.56,70.62,26364700
2008-04-26,70.19,72.12,70.12,71.31,28210800
2008-04-27,71.19,72.75,70.87,70.94,29700100
2008-04-28,70.69,70.94,69.69,70.0,26749400
2008-04-29,70.87,72.0,69.69,69.81,36287700
2008-04-30,70.0,70.62,69.69,70.19,18814900
2008-05-01,70.0,70.69,69.81,70.12,25377600
2008-05-02,70.06,70.69,69.31,69.44,31480400
2008-05-03,70.0,72.06,69.44,70.06,55855600
2008-05-04,70.37,70.87,69.19,69.31,28354800
2008-05-05,69.12,69.69,68.06,68.81,24247600
2008-05-06,68.75,69.31,67.62,68.12,23390600
2008-05-07,67.56,68.75,67.19,68.25,20372400
2008-05-08,68.69,68.75,65.69,65.81,39251500
2008-05-09,65.44,65.62,63.31,64.19,49957600
2008-05-10,64.25,64.62,62.19,63.0,34518900
2008-05-11,63.63,65.75,63.38,65.0,39655600
2008-05-12,64.87,65.0,63.19,64.25,33895700
2008-05-13,64.0,65.12,63.56,64.19,24476100
2008-05-14,61.13,63.5,61.0,63.25,42238300
2008-05-15,63.25,63.5,60.44,61.25,26742100
2008-05-16,60.94,65.87,60.44,62.69,77852400
2008-05-17,63.44,63.56,59.81,60.63,53077800
2008-05-18,60.81,61.88,60.63,61.31,26180200
2008-05-19,61.0,61.31,58.63,60.31,37026800
2008-05-20,60.5,60.81,58.25,59.13,29281200
2008-05-21,59.56,59.81,56.5,56.56,42687000
2008-05-22,56.38,56.56,54.5,55.44,68226700
2008-05-23,55.5,57.25,55.25,55.38,40549700
2008-05-24,55.81,56.75,54.75,55.56,30897000
2008-05-25,55.63,55.75,53.0,54.19,29161800
2008-05-26,53.94,55.56,53.81,54.56,31033100
2008-05-27,54.0,56.94,54.0,55.75,50602900
2008-05-28,56.31,56.88,53.81,54.38,45109800
2008-05-29,53.88,54.88,52.13,53.75,52260600
2008-05-30,53.5,53.81,49.56,50.38,59879500
2008-05-31,51.88,52.44,50.25,50.44,40638300
2008-06-01,49.63,53.25,48.44,51.75,55268200
2008-06-02,58.44,62.19,58.0,61.88,128496600
2008-06-03,61.31,66.12,61.13,65.19,80189300
2008-06-04,64.62,66.25,60.69,62.13,92585200
2008-06-05,62.63,62.94,60.19,61.5,47213700
2008-06-06,61.94,63.44,60.44,61.25,83801900
2008-06-07,61.0,65.06,60.81,64.44,57413300
2008-06-08,64.69,69.19,64.62,67.69,62146200
2008-06-09,67.5,70.12,67.37,69.06,55028800
2008-06-10,69.0,69.5,68.0,68.87,52237000
2008-06-11,68.5,70.06,68.44,69.62,40654700
2008-06-12,70.37,70.84,69.62,70.31,38992600
2008-06-13,69.25,69.62,68.06,68.25,34355500
2008-06-14,68.69,70.12,68.25,69.5,37425700
2008-06-15,69.75,71.87,69.5,70.5,52165600
2008-06-16,71.12,72.37,68.0,69.44,103074700
2008-06-17,68.5,71.31,68.44,70.87,45529300
2008-06-18,69.94,70.31,66.81,67.37,46872200
2008-06-19,66.69,68.12,64.41,66.44,41682400
