Date,Open,High,Low,Close,Volume
2007-10-03,105.1,108.6,104.9,108.0,2810500
2007-10-04,107.8,108.4,106.0,106.0,2550100
2007-10-05,106.6,107.6,105.3,106.8,2503300
2007-10-06,107.3,107.4,104.0,105.3,2124000
2007-10-07,106.0,106.8,105.5,105.9,1653100
2007-10-08,105.9,108.8,105.6,108.6,1654300
2007-10-09,108.6,108.6,105.8,107.5,1507000
2007-10-10,107.5,107.8,105.6,107.4,1351800
2007-10-11,107.1,107.8,105.1,106.4,1723000
2007-10-12,106.5,107.0,105.4,107.0,1714700
2007-10-13,104.9,107.5,104.9,106.6,2000500
2007-10-14,107.2,107.4,106.0,107.4,1784400
2007-10-15,107.1,109.8,107.0,109.0,1759300
2007-10-16,108.6,109.7,108.3,109.6,2735600
2007-10-17,109.3,110.7,108.3,110.5,3128400
2007-10-18,109.9,111.9,109.5,110.8,2030400
2007-10-19,110.8,113.1,110.3,112.0,2770400
2007-10-20,112.3,112.6,109.9,112.4,1993200
2007-10-21,112.4,113.3,111.7,113.0,731700
2007-10-22,111.9,112.5,110.1,111.5,1933700
2007-10-23,110.7,112.8,108.0,108.5,2007700
2007-10-24,108.8,112.3,108.6,112.3,1910400
2007-10-25,112.3,112.9,111.8,112.5,1785000
2007-10-26,113.0,115.6,112.8,113.8,3093900
2007-10-27,113.1,114.4,112.8,113.4,1852300
2007-10-28,113.4,113.6,109.9,109.9,2253000
2007-10-29,110.0,111.3,109.9,110.7,1354400
2007-10-30,110.9,110.9,108.4,109.9,2234300
2007-10-31,109.3,111.3,108.8,110.4,1732700
2007-11-01,110.4,111.3,108.6,110.3,1228700
2007-11-02,109.0,112.0,108.8,111.6,1492100
2007-11-03,111.6,114.8,111.4,112.6,2355800
2007-11-04,111.3,111.4,108.4,109.9,1981600
2007-11-05,109.94,109.94,106.0,106.25,4758400
2007-11-06,106.5,109.2,106.3,107.6,2273900
2007-11-07,106.1,106.6,103.5,104.5,2746600
2007-11-08,104.8,109.0,104.7,109.0,1860300
2007-11-09,109.0,109.6,108.4,109.5,1279800
2007-11-10,109.5,111.3,108.6,111.2,1566500
2007-11-11,111.0,111.7,109.6,109.8,998900
2007-11-12,111.6,111.6,108.6,109.4,708400
2007-11-13,109.6,110.5,109.0,109.6,710100
2007-11-14,109.8,109.9,108.8,109.6,307100
2007-11-15,107.8,107.9,107.1,107.2,2137500
2007-11-16,106.4,108.4,103.8,105.1,2135400
2007-11-17,104.9,105.4,103.0,104.2,2549200
2007-11-18,105.1,109.4,105.1,107.9,3262100
2007-11-19,109.6,117.0,109.2,116.5,4916000
2007-11-20,115.8,117.3,114.4,115.9,3431000
2007-11-21,115.4,117.8,114.4,117.8,2210900
2007-11-22,116.6,118.4,116.1,117.0,3115800
2007-11-23,116.9,117.0,114.6,115.0,2642600
2007-11-24,115.5,117.0,115.4,117.0,2452200
2007-11-25,116.9,118.0,116.1,116.9,2228400
2007-11-26,114.0,116.0,113.6,115.4,2776700
2007-11-27,114.0,114.3,107.6,112.6,5115900
2007-11-28,112.6,112.6,99.5,102.7,12189400
2007-11-29,96.0,108.88,94.81,96.0,14277300
2007-11-30,103.6,103.7,97.0,97.5,8548900
2007-12-01,99.0,100.8,98.81,100.6,5121600
2007-12-02,102.0,104.4,101.2,104.1,4494500
2007-12-03,103.7,103.7,99.38,100.3,4791700
2007-12-04,100.3,101.1,98.38,101.1,2259100
2007-12-05,100.7,100.9,98.75,99.5,2022100
2007-12-06,99.75,99.94,98.38,98.63,1960400
2007-12-07,99.81,99.81,96.69,97.81,3129800
2007-12-08,97.63,97.69,94.0,94.75,3823900
2007-12-09,94.0,94.81,92.56,93.25,3232200
2007-12-10,94.0,95.88,92.81,95.75,3393900
2007-12-11,95.25,95.88,93.75,94.0,3127900
2007-12-12,93.75,94.69,90.06,91.44,2633900
2007-12-13,91.31,93.94,91.31,93.75,2667500
2007-12-14,93.69,93.81,91.0,91.88,2626100
2007-12-15,92.5,95.81,92.13,95.75,3432000
2007-12-16,95.81,96.25,93.0,94.05,2657300
2007-12-17,94.0,95.0,93.0,94.19,2341200
2007-12-18,93.81,94.44,92.0,93.63,2325800
2007-12-19,92.31,93.44,90.06,92.88,2613400
2007-12-20,92.88,92.88,90.13,90.63,2678500
2007-12-21,90.38,90.88,86.56,88.5,3611600
2007-12-22,88.75,89.0,85.13,85.13,3588600
2007-12-23,85.81,90.0,85.0,88.38,3540800
2007-12-24,89.5,89.88,87.25,87.88,3330900
2007-12-25,88.0,88.69,86.88,88.25,2076800
2007-12-26,88.0,88.44,86.69,87.31,1782900
2007-12-27,87.81,89.81,87.0,88.44,2451100
2007-12-28,88.38,88.44,86.63,87.44,1834300
2007-12-29,58.0,72.38,57.25,61.0,68643600
2007-12-30,61.0,61.69,57.13,58.0,37292100
2007-12-31,58.5,59.5,56.5,57.75,17108600
2008-01-01,57.13,57.75,52.75,53.75,24280800
2008-01-02,53.75,57.25,53.25,57.25,17998400
2008-01-03,57.44,58.0,55.13,55.75,10371000
2008-01-04,56.44,58.5,54.63,58.5,12368700
2008-01-05,59.69,60.5,58.75,59.88,13702600
2008-01-06,59.88,59.88,57.0,57.63,11101200
2008-01-07,58.38,59.03,57.44,58.13,5928000
2008-01-08,57.19,57.5,56.13,57.0,7466500
2008-01-09,57.25,57.69,55.38,57.0,7745100
2008-01-10,55.94,56.88,55.56,56.19,6810900
2008-01-11,56.44,56.5,55.12,56.44,7155800
2008-01-12,56.25,57.0,55.13,55.25,5954700
2008-01-13,55.19,57.13,55.19,57.0,6028800
2008-01-14,57.19,58.75,57.13,58.69,7865800
2008-01-15,58.94,60.13,58.0,58.0,8004000
2008-01-16,59.5,59.5,56.25,56.75,6016800
2008-01-17,56.75,60.0,56.75,59.5,5035700
2008-01-18,60.88,64.0,60.0,63.44,13757000
2008-01-19,62.69,63.63,61.56,61.56,6810000
2008-01-20,62.0,62.94,61.0,62.75,3913500
2008-01-21,63.38,63.75,62.5,63.44,3897400
2008-01-22,63.94,66.0,63.75,66.0,5873500
2008-01-23,65.63,66.81,63.75,66.44,5098800
2008-01-24,67.94,72.75,67.63,69.31,10322900
2008-01-25,69.5,69.88,67.19,69.5,5676700
2008-01-26,68.0,68.25,62.0,63.0,8690900
2008-01-27,62.88,69.13,62.75,69.0,7527000
2008-01-28,68.56,68.56,65.38,66.06,7193800
2008-01-29,66.31,67.75,65.56,66.06,3961600
2008-01-30,66.13,69.0,66.13,68.94,4069600
2008-01-31,68.94,71.0,68.5,70.5,4361600
2008-02-01,70.5,70.5,63.44,64.25,10329200
2008-02-02,63.25,63.38,59.88,60.75,12302700
2008-02-03,60.0,62.25,59.25,60.88,7596500
2008-02-04,60.94,60.94,59.13,59.75,5313700
2008-02-05,59.81,60.44,58.75,59.7,3763800
2008-02-06,59.44,60.06,59.0,59.81,2846100
2008-02-07,60.63,61.63,60.31,60.63,3629700
2008-02-08,60.56,61.69,60.0,60.44,3300400
2008-02-09,60.25,60.88,59.81,60.88,2201500
2008-02-10,60.13,61.38,60.06,61.19,2794300
2008-02-11,61.25,63.06,61.25,62.75,4226400
2008-02-12,63.31,64.81,62.94,64.19,4104000
2008-02-13,64.38,65.19,63.25,65.0,3333400
2008-02-14,65.0,65.56,63.63,64.13,2127900
2008-02-15,63.88,65.25,63.31,64.88,2324000
2008-02-16,64.88,65.31,63.88,64.5,3154400
2008-02-17,64.5,65.0,63.75,65.0,3022200
2008-02-18,64.75,65.31,64.5,64.75,2583200
2008-02-19,64.25,65.19,64.06,65.06,2981900
2008-02-20,65.19,65.38,64.31,64.88,3093100
2008-02-21,64.38,65.19,63.75,64.38,2647700
2008-02-22,64.56,66.25,64.38,65.88,4406800
2008-02-23,65.63,66.0,64.75,65.94,3308700
2008-02-24,65.75,66.44,65.63,66.25,2231700
2008-02-25,66.31,66.38,65.75,66.13,2185000
2008-02-26,66.0,66.88,65.56,66.5,2104400
2008-02-27,66.13,66.38,65.38,65.63,3850500
2008-02-28,65.38,65.38,63.5,64.0,5231300
2008-02-29,64.0,64.0,62.5,63.31,3793300
2008-03-01,62.88,63.69,62.63,63.25,2174100
2008-03-02,62.88,63.88,61.88,61.88,3139000
2008-03-03,58.63,60.0,55.88,57.5,22596700
2008-03-04,56.81,57.5,55.81,57.0,8989500
2008-03-05,57.0,57.19,56.06,56.38,4660900
2008-03-06,55.81,57.0,55.81,57.0,4633600
2008-03-07,56.75,57.13,56.06,57.0,4039400
2008-03-08,57.19,57.5,56.44,56.75,5728800
2008-03-09,57.0,57.19,55.5,55.5,5786700
2008-03-10,56.19,56.5,55.06,56.09,3356300
2008-03-11,55.88,56.0,54.94,55.25,4000000
2008-03-12,55.38,55.44,54.25,54.56,4099000
2008-03-13,54.63,54.81,54.06,54.13,3594800
2008-03-14,54.75,55.44,54.25,54.94,4208500
2008-03-15,55.0,55.81,54.94,55.63,3585600
2008-03-16,55.5,56.63,55.13,55.63,4258200
2008-03-17,55.5,56.0,55.13,55.55,3695600
2008-03-18,55.06,55.13,53.63,53.63,4877500
2008-03-19,53.56,57.35,53.25,56.75,11984500
2008-03-20,56.75,56.81,55.19,55.88,2797600
2008-03-21,56.25,56.31,55.25,55.63,3672000
2008-03-22,56.0,56.0,55.0,55.25,4064800
2008-03-23,55.69,55.69,54.19,54.88,4453700
2008-03-24,55.06,55.69,55.0,55.44,4685200
2008-03-25,55.5,55.63,54.5,55.13,3483300
2008-03-26,54.88,55.5,54.19,55.13,4266600
2008-03-27,55.25,55.44,54.31,54.56,3649500
2008-03-28,54.75,56.25,54.69,56.0,5047100
2008-03-29,56.25,57.25,56.06,56.13,3970600
2008-03-30,56.19,58.25,56.0,58.25,4492400
2008-03-31,57.94,59.13,57.56,59.13,4810400
2008-04-01,59.25,59.56,58.5,59.0,5135600
2008-04-02,59.25,59.44,58.81,59.13,3045800
2008-04-03,59.19,59.44,59.0,59.0,3940900
2008-04-04,59.5,60.81,59.44,60.63,4236500
2008-04-05,59.25,59.94,59.25,59.65,3704900
2008-04-06,59.56,60.75,59.31,59.56,3005200
2008-04-07,59.94,60.0,59.0,59.19,4137000
2008-04-08,58.75,59.0,56.5,57.0,5954400
2008-04-09,56.0,60.0,55.38,58.75,7966200
2008-04-10,59.38,59.63,57.63,58.19,4563500
2008-04-11,58.44,59.06,57.81,58.06,2502300
2008-04-12,58.06,58.06,57.13,57.38,2355100
2008-04-13,57.31,57.75,57.0,57.13,2041400
2008-04-14,57.0,57.0,56.25,56.5,2536200
2008-04-15,56.56,56.75,56.0,56.31,3420800
2008-04-16,56.56,56.94,56.31,56.81,1884700
2008-04-17,56.88,58.5,56.44,58.25,2863700
2008-04-18,58.31,59.69,58.06,59.25,3050100
2008-04-19,59.75,62.75,59.56,62.0,7591000
2008-04-20,62.0,62.19,61.25,62.0,4279100
2008-04-21,62.5,62.69,61.5,62.25,3215000
2008-04-22,62.25,63.19,62.13,63.0,3724200
2008-04-23,63.19,63.44,63.0,63.19,1892100
2008-04-24,63.44,64.31,63.38,64.13,3082800
2008-04-25,64.06,64.5,63.88,64.31,1983700
2008-04-26,64.25,64.25,62.13,62.94,4267100
2008-04-27,62.13,62.75,61.38,62.75,3293000
2008-04-28,62.75,63.25,62.31,62.75,2041200
2008-04-29,63.0,63.0,62.19,62.5,1770600
2008-04-30,62.06,62.31,61.56,62.06,1920300
2008-05-01,61.88,62.25,61.38,61.83,2707300
2008-05-02,61.63,61.69,61.0,61.38,2157000
2008-05-03,61.44,62.69,61.13,62.5,2487600
2008-05-04,62.75,64.38,62.5,63.44,5917500
2008-05-05,63.69,63.81,62.56,62.63,2933900
2008-05-06,62.75,63.5,62.63,63.44,3341800
2008-05-07,63.31,63.75,62.38,62.69,2453300
2008-05-08,62.56,63.31,62.31,63.06,2393700
2008-05-09,63.0,63.0,62.13,62.5,2093000
2008-05-10,61.81,62.25,60.06,61.3,6257100
2008-05-11,62.44,63.06,61.94,62.5,4544700
2008-05-12,61.94,62.5,61.0,62.13,3854500
2008-05-13,61.88,62.44,61.31,61.5,2866000
2008-05-14,61.0,61.81,60.5,61.81,3727900
2008-05-15,61.56,63.38,61.5,62.88,3701100
2008-05-16,63.25,64.38,63.0,63.88,4398400
2008-05-17,64.06,64.06,62.19,63.13,3405100
2008-05-18,63.06,63.31,60.44,61.75,6753100
2008-05-19,61.63,62.38,60.13,61.75,4888000
2008-05-20,66.94,67.81,61.06,66.94,15050400
2008-05-21,67.0,67.69,66.44,67.0,5362200
2008-05-22,67.06,68.06,66.56,68.06,3646400
2008-05-23,68.0,69.69,67.81,68.81,4137400
2008-05-24,68.63,70.69,68.56,70.13,5186700
2008-05-25,71.88,73.19,71.5,73.0,6532200
2008-05-26,73.13,74.88,72.75,73.94,4706700
2008-05-27,73.0,73.56,72.44,72.88,2481900
2008-05-28,72.5,73.0,72.06,72.44,2500600
2008-05-29,72.25,74.0,72.13,73.5,3694300
2008-05-30,73.25,74.44,72.44,73.63,3832600
2008-05-31,72.75,73.44,72.13,72.63,4019700
2008-06-01,72.38,72.38,71.06,71.94,2834600
2008-06-02,71.5,74.0,71.19,73.31,3040100
2008-06-03,72.69,74.94,72.19,74.69,3864300
2008-06-04,74.13,74.25,72.31,73.0,4079700
2008-06-05,72.19,73.31,72.13,72.88,2648800
2008-06-06,72.69,72.69,69.56,69.56,3063700
2008-06-07,71.0,73.69,70.56,73.63,3334600
2008-06-08,73.88,75.75,73.19,74.94,4646700
2008-06-09,75.13,75.94,73.56,74.94,2862200
2008-06-10,73.75,76.94,73.5,76.94,4198200
2008-06-11,76.0,76.88,74.31,76.88,5899600
2008-06-12,75.0,75.13,69.81,71.44,11919300
2008-06-13,70.88,70.94,68.31,69.0,6889100
2008-06-14,68.75,69.38,67.31,67.94,4509200
2008-06-15,67.75,68.69,67.13,68.25,3255400
2008-06-16,68.25,69.0,67.81,68.5,2819800
2008-06-17,68.63,69.19,67.5,68.44,2430900
2008-06-18,68.25,70.19,68.13,69.44,2883100
2008-06-19,70.0,71.5,68.06,69.5,6041700
2008-06-20,70.13,72.5,70.0,71.63,3125200
2008-06-21,71.5,73.06,71.38,72.25,3081500
2008-06-22,72.25,72.88,71.25,72.44,3728800
2008-06-23,73.0,73.88,72.63,73.38,2759100
2008-06-24,72.69,74.81,72.13,74.06,2686600
2008-06-25,73.88,75.75,73.88,75.75,3954000
2008-06-26,74.75,75.88,73.94,74.94,3035900
