Date,Open,High,Low,Close,Volume
2007-10-03,74.06,75.0,73.56,74.75,3394300
2007-10-04,74.37,75.19,73.94,74.12,2950100
2007-10-05,74.62,74.62,72.56,73.0,3738600
2007-10-06,73.69,73.94,72.5,73.0,3636000
2007-10-07,73.0,73.0,70.06,70.62,7173300
2007-10-08,71.0,74.81,71.0,74.31,5511800
2007-10-09,74.94,75.37,74.37,75.31,3166000
2007-10-10,75.62,76.19,75.31,76.0,4447000
2007-10-11,76.06,76.87,75.37,76.81,3797200
2007-10-12,76.94,77.94,76.5,77.87,3487600
2007-10-13,77.87,78.06,77.37,78.0,3584900
2007-10-14,78.25,79.19,77.0,79.19,4407000
2007-10-15,79.12,81.25,79.0,80.25,7267200
2007-10-16,81.0,81.37,80.19,81.06,4589900
2007-10-17,81.0,81.06,79.62,79.69,3767900
2007-10-18,79.69,80.06,79.19,79.55,3601300
2007-10-19,79.87,79.94,77.69,78.0,4162000
2007-10-20,77.87,79.62,77.56,79.12,4761900
2007-10-21,78.5,79.06,78.0,78.0,1247800
2007-10-22,77.87,79.5,77.56,79.37,4204800
2007-10-23,80.0,80.19,78.87,79.31,5867900
2007-10-24,79.25,82.88,79.25,82.5,6266000
2007-10-25,82.88,82.88,81.25,82.08,5470000
2007-10-26,82.0,83.13,81.63,82.53,5658200
2007-10-27,82.25,84.0,82.0,83.88,4577200
2007-10-28,84.0,85.19,83.75,83.88,7831200
2007-10-29,83.63,84.5,82.63,83.48,4954700
2007-10-30,84.38,86.56,83.88,86.13,6212000
2007-10-31,85.81,85.81,82.69,82.81,5278500
2007-11-01,83.38,83.81,81.06,82.66,6179500
2007-11-02,82.0,83.13,82.0,82.38,5799000
2007-11-03,83.25,84.25,83.06,83.06,6933700
2007-11-04,81.75,84.81,81.75,83.75,5914900
2007-11-05,83.94,84.25,82.25,82.62,10647400
2007-11-06,83.25,83.69,81.0,81.92,3466300
2007-11-07,81.0,82.0,80.63,80.75,3572600
2007-11-08,80.69,81.88,80.06,81.0,4178200
2007-11-09,82.44,84.06,81.5,83.81,3915200
2007-11-10,83.94,84.19,81.25,82.0,3513200
2007-11-11,81.56,82.56,80.5,80.69,4391300
2007-11-12,81.0,82.31,80.88,81.19,2189400
2007-11-13,81.38,81.38,79.75,80.44,2740900
2007-11-14,80.56,81.0,80.19,80.56,1379300
2007-11-15,79.5,80.75,77.88,78.31,6729100
2007-11-16,77.38,78.19,76.5,76.81,7255400
2007-11-17,78.0,81.25,77.81,80.63,8742500
2007-11-18,80.63,85.81,80.19,85.19,9730800
2007-11-19,85.94,86.25,84.0,84.94,8301900
2007-11-20,84.19,84.63,83.56,83.75,4272700
2007-11-21,83.75,85.25,83.63,84.75,4361300
2007-11-22,83.25,84.38,82.81,83.5,5157100
2007-11-23,83.5,86.0,83.13,85.44,6028000
2007-11-24,85.5,85.5,83.0,83.75,5634400
2007-11-25,82.75,85.5,82.38,84.75,5964700
2007-11-26,84.25,85.88,83.69,85.56,6544400
2007-11-27,85.19,85.25,82.69,83.69,4806700
2007-11-28,84.0,85.19,83.31,85.0,7171800
2007-11-29,85.44,86.31,83.0,84.25,6229700
2007-11-30,84.0,86.13,83.81,84.06,5960800
2007-12-01,84.06,84.56,82.69,83.5,4649000
2007-12-02,83.31,83.31,79.75,81.0,5274200
2007-12-03,80.0,81.0,78.88,78.88,5180500
2007-12-04,78.63,83.56,77.88,82.88,7306100
2007-12-05,83.31,83.44,81.38,83.19,5332700
2007-12-06,83.25,84.88,83.25,83.81,5781400
2007-12-07,83.44,84.0,80.06,82.38,5805400
2007-12-08,83.5,83.5,80.06,80.88,5718100
2007-12-09,79.5,81.25,79.5,80.75,3550600
2007-12-10,81.0,81.88,78.69,78.94,4686000
2007-12-11,76.75,77.31,76.0,76.25,6204100
2007-12-12,76.25,77.69,75.31,75.88,6737800
2007-12-13,76.0,76.69,72.69,73.88,6232900
2007-12-14,74.5,76.94,74.44,76.44,4876800
2007-12-15,77.75,80.56,77.44,79.31,5391800
2007-12-16,79.0,80.38,78.38,80.0,5132100
2007-12-17,79.0,79.0,77.31,77.88,5839200
2007-12-18,77.31,77.38,75.0,75.0,6900300
2007-12-19,76.25,76.94,74.5,75.44,5427400
2007-12-20,74.13,75.81,73.13,74.63,4440800
2007-12-21,72.69,73.44,71.5,72.81,5393200
2007-12-22,72.56,74.38,70.0,71.06,5900300
2007-12-23,71.0,75.31,69.88,73.5,5937600
2007-12-24,73.5,75.63,72.94,75.31,5234600
2007-12-25,75.38,76.25,73.19,76.06,4942300
2007-12-26,76.0,77.69,75.56,77.0,4901100
2007-12-27,76.5,76.5,74.25,75.69,5103900
2007-12-28,74.0,75.0,72.0,72.94,5248700
2007-12-29,72.13,81.0,72.0,80.0,11405800
2007-12-30,77.5,82.0,77.5,79.63,9990700
2007-12-31,78.0,80.56,77.44,80.44,5453100
2008-01-01,80.0,80.19,76.31,77.03,4715000
2008-01-02,76.5,77.94,74.38,75.88,4733700
2008-01-03,75.13,78.0,74.63,77.25,4523800
2008-01-04,77.19,78.0,74.69,77.75,5939900
2008-01-05,78.0,79.94,75.88,79.75,5800400
2008-01-06,79.31,79.69,77.0,77.13,7464600
2008-01-07,76.19,77.31,74.31,74.88,5342800
2008-01-08,75.75,77.75,75.63,77.0,5440300
2008-01-09,77.0,77.0,74.44,74.94,7126600
2008-01-10,74.63,76.06,74.31,75.5,5057800
2008-01-11,75.75,77.56,75.62,77.25,4402200
2008-01-12,77.25,78.19,75.75,76.51,4831500
2008-01-13,75.63,79.0,75.63,79.0,4134800
2008-01-14,78.19,81.94,77.75,80.5,10376800
2008-01-15,81.44,81.81,77.69,78.63,6637100
2008-01-16,78.88,79.94,77.81,78.0,6299800
2008-01-17,77.75,80.75,77.69,80.5,4977800
2008-01-18,79.94,82.88,79.94,82.5,8194600
2008-01-19,82.0,83.13,79.5,79.75,6513400
2008-01-20,80.56,82.0,80.06,81.75,4132600
2008-01-21,81.0,81.38,79.06,79.56,3912800
2008-01-22,79.0,79.63,78.13,78.25,4546200
2008-01-23,78.94,80.94,78.69,79.38,5333200
2008-01-24,80.0,81.5,79.69,79.94,4297200
2008-01-25,79.94,81.0,78.81,80.0,4454700
2008-01-26,79.81,81.75,78.0,78.75,5924100
2008-01-27,78.63,79.38,75.13,75.5,8103200
2008-01-28,76.0,76.81,75.0,76.19,6030000
2008-01-29,76.25,78.44,76.0,77.44,6050000
2008-01-30,77.44,79.0,77.06,79.0,4029000
2008-01-31,78.63,81.0,77.19,79.88,4454600
2008-02-01,80.25,81.5,80.13,81.0,5852300
2008-02-02,81.0,81.0,79.31,80.13,4209000
2008-02-03,79.63,80.94,78.63,80.69,4831100
